Make & Model,Year,Avg. Daily Price,Avg. Monthly Revenue,Demand,Annual Revenue,Market Value,ROI,Days On Turo,Trips,Protection Plan
BMW iX,2024,$71,$1787,82%,$21444,$104845,20%,151,2,75%
Nissan Kicks,2025,$41,$637,50%,$7644,$22871,33%,95,19,60%
Mercedes-Benz GLS-Class,2025,,,,,$85742,,47,9,75%
BMW X5,2020,$54,$317,19%,$3804,$29929,13%,88,3,75%
Porsche Macan,2024,$85,$1776,68%,$21312,$59979,36%,267,21,75%
Hyundai Elantra,2020,$32,$537,54%,$6444,$12819,50%,169,26,90%
Genesis GV60,2025,$47,$608,42%,$7296,$51525,14%,72,10,75%
Mercedes-Benz CLE,2024,,,,,$54073,,54,6,60%
Toyota Corolla,2024,$37,$299,26%,$3588,$21978,16%,79,15,90%
Audi A5,2024,$50,$324,21%,$3888,$44083,9%,181,10,75%
Chrysler Pacifica,2022,$59,$777,43%,$9324,$32151,29%,204,19,75%
GMC Terrain,2022,$35,$688,63%,$8256,$20531,40%,987,58,60%
Mercedes-Benz GLS-Class,2024,$213,$3967,61%,$47604,$83039,57%,221,17,75%
Ford Mustang,2020,$50,$1067,69%,$12804,$21554,59%,171,23,75%
Toyota Camry,2019,$41,$1075,84%,$12900,$17519,74%,541,69,75%
Tesla Model 3,2024,$48,$1277,87%,$15324,$40630,38%,142,33,90%
Ford Escape,2022,$46,$821,58%,$9852,$18568,53%,1042,76,90%
Mazda CX-50,2025,$53,,,,$31339,,35,7,60%
BMW 7 Series,2023,$86,,,,$85420,,26,3,90%
Mazda Mazda5,2015,$37,$527,46%,$6324,$7113,89%,211,12,75%
Honda Pilot,2012,$43,$834,63%,$10008,$7196,139%,696,59,75%
Ford Maverick,2025,$41,,,,$38138,,10,1,90%
Nissan ARIYA,2024,$41,$201,16%,$2412,$38496,6%,63,2,75%
Ford Expedition Max,2023,$48,,,,$67975,,6,2,75%
Lexus NX,2024,$49,$829,55%,$9948,$38777,26%,540,48,75%
Chevrolet Equinox EV,2025,,,,,$34995,,52,3,80%
Acura RDX,2025,$43,,,,$43871,,9,1,75%
Toyota RAV4 Hybrid,2024,$47,$603,42%,$7236,$35050,21%,361,19,80%
Hyundai Elantra,2018,$39,$668,56%,$8016,$10128,79%,1011,54,75%
Toyota Camry,2016,$24,,,,$11706,,19,3,80%
Hyundai Elantra,2024,$27,,,,$23381,,2,1,75%
Ford Mustang,2022,$59,$108,6%,$1296,$24799,5%,87,6,75%
Toyota Camry Hybrid,2025,$43,$736,55%,$8832,$33174,27%,67,8,75%
Honda Civic,2013,$34,$552,53%,$6624,$8019,83%,1025,82,75%
Tesla Model 3,2024,,,,,$40630,,67,5,75%
Fisker Ocean,2024,,,,,$41437,,57,1,90%
Kia Soul,2023,$30,$380,41%,$4560,$23241,20%,813,59,75%
Tesla Model 3,2023,$49,$1112,73%,$13344,$40630,33%,660,42,90%
BMW 4 Series,2021,$64,$1135,58%,$13620,$39552,34%,156,24,75%
Hyundai Elantra,2019,$37,$614,53%,$7368,$12497,59%,966,85,75%
Toyota Camry Hybrid,2025,$43,$790,59%,$9480,$33174,29%,184,12,60%
Ford E-Transit Cargo,2023,$51,$785,50%,$9420,$24416,39%,109,13,90%
Volkswagen Atlas,2024,$67,$1404,68%,$16848,$51762,33%,308,29,75%
Volkswagen Jetta,2025,$42,$509,39%,$6108,$23716,26%,84,10,75%
Volkswagen Jetta,2017,$37,$806,71%,$9672,$11406,85%,168,24,80%
Chevrolet Trax,2024,$41,$783,62%,$9396,$22335,42%,134,24,60%
Volvo XC90 Plug-In Hybrid,2025,$92,$786,28%,$9432,$71114,13%,157,5,75%
Can-Am Ryker 600,2021,,,,,$10085,,161,1,60%
Honda Civic,2024,$38,$530,45%,$6360,$23963,27%,465,64,80%
Land Rover Range Rover Velar,2023,$80,$1394,57%,$16728,$58994,28%,899,85,80%
Honda CR-V Hybrid,2025,$47,$190,13%,$2280,$37096,6%,57,6,75%
FIAT 500,2015,$23,$474,66%,$5688,$5919,96%,855,62,75%
Ford Mustang,2016,$44,$749,55%,$8988,$15454,58%,1359,77,75%
MINI Hardtop 2 Door,2013,$33,$598,59%,$7176,$33195,22%,214,36,75%
Subaru Ascent,2022,$53,$683,42%,$8196,$27255,30%,526,28,75%
Lexus NX,2016,$55,$273,16%,$3276,$14164,23%,86,4,80%
Acura MDX,2025,$49,,,,$55052,,27,4,60%
