Make & Model,Year,Avg. Daily Price,Avg. Monthly Revenue,Demand,Annual Revenue,Market Value,ROI,Days On Turo,Trips,Protection Plan
Toyota bZ4X,2024,$55,$506,30%,$6072,$42323,14%,95,15,75%
Toyota Corolla Hatchback,2025,$34,,,,$23670,,26,4,90%
Nissan Sentra,2025,$40,$1080,87%,$12960,$22258,58%,87,24,90%
Nissan Altima,2024,$42,$943,73%,$11316,$26404,43%,131,29,90%
Toyota Prius,2015,$39,$938,78%,$11256,$11796,95%,592,102,80%
FIAT 500X,2020,$40,$821,67%,$9852,$14285,69%,69,11,75%
Kia Forte,2020,$44,$599,44%,$7188,$12666,57%,137,28,90%
Toyota Corolla Hybrid,2025,$34,,,,$24455,,31,7,90%
Ford Mustang,2024,$56,$1286,75%,$15432,$31728,49%,162,42,90%
Chevrolet Malibu,2024,$41,$1014,81%,$12168,$27104,45%,131,34,90%
Jeep Gladiator,2021,$58,$1112,62%,$13344,$32920,41%,1095,109,90%
Ford Escape,2020,,,,,$13827,,47,6,75%
Cadillac XT5,2019,$63,$1462,76%,$17544,$20689,85%,174,13,90%
Chevrolet Trax,2024,$53,$697,43%,$8364,$22335,37%,251,26,75%
Ford Escape,2023,$52,$678,42%,$8136,$29526,28%,254,10,75%
Jeep Cherokee,2016,$49,$715,47%,$8580,$9535,90%,52,8,85%
Nissan Kicks,2024,$38,$892,75%,$10704,$21495,50%,202,35,90%
Ford Mustang,2017,$40,,,,$16175,,31,7,75%
Mitsubishi Outlander,2023,$59,$1278,70%,$15336,$31736,48%,187,24,90%
Kia Soul,2023,$38,$975,82%,$11700,$19925,59%,345,80,90%
Hyundai Elantra Hybrid,2024,$43,$636,48%,$7632,$25939,29%,135,23,90%
Toyota Camry,2018,$38,,,,$16171,,28,4,75%
Ford Transit,2023,$96,$1526,52%,$18312,$52923,35%,641,60,90%
BMW 4 Series Gran Coupe,2023,$57,$1150,66%,$13800,$40352,34%,368,71,90%
Chevrolet Trax,2024,$62,$1387,73%,$16644,$20433,81%,316,51,90%
INFINITI Q60,2020,$38,$843,70%,$10116,$27202,37%,37,12,90%
Chevrolet Malibu,2017,$44,$1102,82%,$13224,$10022,132%,139,11,80%
