date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,40.8,35.1,46.9,0,,303,7.4,,1021.1,
2024-01-02,38.1,30,52,0,,349,1.2,,1024.4,
2024-01-03,36.7,26.1,45,0.035,,339,1.2,,1019.8,
2024-01-04,39.9,30,51.1,0,,343,4,,1021.1,
2024-01-05,40.8,28,51.1,0.012,,77,7.4,,1022.3,
2024-01-06,43.5,39,48.9,0.791,,4,6,,1009.4,
2024-01-07,42.1,30,48.9,0,,295,8.4,,1019.1,
2024-01-08,39.7,27,51.1,0.362,,67,7,,1023.3,
2024-01-09,46.6,41,53.1,2.315,,202,11.2,,1001.2,
2024-01-10,41.5,34,50,0,,273,8.5,,1011.1,
2024-01-11,43.5,28,63,0,,316,2.5,,1016,
2024-01-12,45.3,37,52,0.413,,44,4.2,,1007.3,
2024-01-13,37,30,46.9,0,,298,8.8,,1014.3,
2024-01-14,40.1,27,55.9,0,,323,3.4,,1020.8,
2024-01-15,46.9,37.9,60.1,0,,335,2.4,,1017.3,
2024-01-16,30.2,18,44.1,0.343,,323,10.2,,1017.2,
2024-01-17,23.4,12,37,0,,326,5.3,,1026.4,
2024-01-18,37.2,19,50,0.004,,315,2.8,,1021,
2024-01-19,39,26.1,46,0.028,,300,12.1,,1018.9,
2024-01-20,22.3,16,30,0,,332,9.7,,1029.6,
2024-01-21,25,12,41,0,,10,1.7,,1035.4,
2024-01-22,36,21,50,0,,44,3.7,,1034.1,
2024-01-23,46.9,41,52,0.071,,59,5.8,,1029.7,
2024-01-24,55,48.9,62.1,0.264,,82,4.5,,1024.6,
2024-01-25,63.9,60.1,71.1,0.681,,133,4.9,,1019.2,
2024-01-26,61.3,55,68,0,,349,1.1,,1019.7,
2024-01-27,60.8,55,64.9,0.299,,215,4.9,,1015,
2024-01-28,46.4,45,51.1,0,,290,13.7,,1015.8,
2024-01-29,44.1,37.9,52,0,,321,8.9,,1020.9,
2024-01-30,46.6,32,61,0.079,,302,2.9,,1018.3,
2024-01-31,46.9,39,54,0,,325,7.6,,1018.5,
2024-02-01,44.8,32,61,0,,340,1.9,,1020,
2024-02-02,51.3,37,68,0,,345,3.4,,1014.9,
2024-02-03,51.3,39.9,62.1,0,,64,6.7,,1013.9,
2024-02-04,45.5,42.1,50,0.417,,71,14.7,,1007.9,
2024-02-05,48.2,39,59,0.028,,42,7.7,,1007.7,
2024-02-06,46,30.9,64.9,0,,0,2,,1015.8,
2024-02-07,44.8,30,59,0,,26,2.4,,1023.9,
2024-02-08,46.4,32,57,0,,69,3.1,,1024.7,
2024-02-09,53.1,44.1,64,0,,357,1.3,,1021.2,
2024-02-10,57.4,48.9,66,0.185,,247,3.4,,1016.8,
2024-02-11,62.4,60.1,66,0.524,,224,4.8,,1011,
2024-02-12,57.7,48.9,60.1,1.953,,153,8.8,,1006.6,
2024-02-13,46.6,41,55.9,0,,306,11.2,,1015.6,
2024-02-14,48.6,34,64.9,0,,356,1.2,,1023.3,
2024-02-15,50.4,35.1,68,0,,325,2.5,,1021.5,
2024-02-16,54.3,43,64.9,0,,261,3.7,,1015.1,
2024-02-17,43.9,36,55,0.051,,322,9.9,,1015.5,
2024-02-18,38.5,30,52,0,,326,4.4,,1019.2,
2024-02-19,46,35.1,60.1,0,,346,3.3,,1020.6,
2024-02-20,43.7,28,60.1,0,,357,0.3,,1024.7,
2024-02-21,47.7,28.9,66,0,,350,1.7,,1024.4,
2024-02-22,55.4,37,70,0.02,,252,5.4,,1014,
2024-02-23,59,54,66.9,0.122,,273,9.2,,1005.3,
2024-02-24,52.2,41,64,0,,296,9.8,,1012.6,
2024-02-25,47.3,30,64.9,0,,358,1.2,,1020.4,
2024-02-26,56.8,37,73,0,,230,5,,1018.4,
2024-02-27,66.2,57.9,73,0,,190,9.6,,1012.8,
2024-02-28,62.4,43,75,0.106,,245,13.2,,1015.1,
2024-02-29,45.7,37,53.1,0,,31,5.6,,1028.4,
2024-03-01,43.2,39.9,48.9,1.114,,69,8.5,,1025.8,
2024-03-02,50.2,43,60.1,0.012,,25,2.7,,1021,
2024-03-03,57.7,46,70,0,,44,3.1,,1020.4,
2024-03-04,59.2,53.1,64,0,,94,4.8,,1020.4,
2024-03-05,56.5,51.1,60.1,0.831,,64,4.3,,1016,
2024-03-06,58.6,55.9,61,1.366,,354,5.5,,1009.6,
2024-03-07,62.4,52,75,0,,3,1.6,,1013.6,
2024-03-08,60.6,54,66,1.169,,88,7.8,,1014.9,
2024-03-09,59.9,53.1,66.9,0.61,,4,8.3,,1008.5,
2024-03-10,50.9,44.1,59,0,,312,11.7,,1017.2,
2024-03-11,50.2,37.9,64.9,0,,337,4.2,,1023.2,
2024-03-12,54.9,35.1,72,0,,334,2.5,,1019.9,
2024-03-13,57.9,39,75,0,,338,2.9,,1016.6,
2024-03-14,63.5,46,81,0,,312,2.7,,1018.1,
2024-03-15,64,57.9,71.1,0.315,,280,4.7,,1015.3,
2024-03-16,63.3,57,72,0,,293,5.4,,1013.3,
2024-03-17,59.2,53.1,68,0.031,,288,5.3,,1010.9,
2024-03-18,50.2,39.9,57.9,0,,309,9.8,,1014.2,
2024-03-19,45,30.9,60.1,0,,309,6,,1019.7,
2024-03-20,56.3,36,73,0,,262,5.4,,1016.1,
2024-03-21,61.2,43,75.9,0,,5,1.2,,1017.6,
2024-03-22,59.4,55.9,64.9,0.295,,85,7.6,,1013.5,
2024-03-23,58.6,53.1,66.9,0,,346,9.7,,1009.3,
2024-03-24,53.2,37,64.9,0,,60,6.5,,1017.2,
