date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,34,27.1,37.9,0,,350,6.3,,1016.6,
2024-01-02,30.7,24.3,41,0,,287,6.5,,1015.9,
2024-01-03,36,31.1,43,0,,301,7.1,,1014.1,
2024-01-04,39,23.2,45,0,,286,12.3,,1013.6,
2024-01-05,26.6,20.1,34,0,,297,14.8,,1021.4,
2024-01-06,33.1,30.2,37,0.091,,120,9.4,,1020.5,
2024-01-07,33.4,24.3,37,0.949,,27,21.3,,1006.5,
2024-01-08,29.1,26.2,36,0,,303,9.2,,1023.9,
2024-01-09,32,23.2,44.1,0.65,,64,12.1,,1023.6,
2024-01-10,47.8,44.1,55.9,1.819,,219,19.4,,990.1,
2024-01-11,42.6,39,45,0,,258,12.7,,1008.1,
2024-01-12,40.8,36,46.9,0,,196,10.1,,1019.4,
2024-01-13,46.6,39,60.1,1.441,,168,20.6,,996,
2024-01-14,37.6,27.1,41,0,,245,21.9,,1008.4,
2024-01-15,27.7,22.1,32,0,,250,9.8,,1021.6,
2024-01-16,29.3,24.3,35.1,0.559,,343,10.8,,1010.9,
2024-01-17,23.5,19.2,27.1,0,,274,15.2,,1010.3,
2024-01-18,22.3,18.1,29.1,0,,242,14.1,,1017.8,
2024-01-19,26.4,19.2,29.1,0,,329,10.1,,1010.3,
2024-01-20,18,14.2,21.2,0,,297,15.4,,1009.9,
2024-01-21,18.5,15.3,28.2,0,,300,16.3,,1022,
2024-01-22,26.4,19.2,37.9,0,,252,11.2,,1029.2,
2024-01-23,37,32,39.9,0.012,,296,8.7,,1030.5,
2024-01-24,34.5,32,39,0.449,,157,4.9,,1032.4,
2024-01-25,44.1,39,52,0.22,,46,8.1,,1021,
2024-01-26,39.4,37,41,0.78,,52,10.3,,1020.2,
2024-01-27,37,35.1,39,0,,21,6.7,,1022.5,
2024-01-28,36.3,33.1,37,0.579,,92,11.4,,1013.2,
2024-01-29,34.3,33.1,36,0.091,,360,15.9,,1009.6,
2024-01-30,30.4,26.2,33.1,0,,40,10.5,,1023.7,
2024-01-31,29.3,27.1,35.1,0,,218,7.1,,1020.4,
2024-02-01,36.9,34,42.1,0,,217,8.5,,1014.5,
2024-02-02,40.5,35.1,42.1,0.071,,343,7.6,,1011.8,
2024-02-03,34.5,29.1,37.9,0,,344,12.1,,1015.9,
2024-02-04,31.6,24.3,42.1,0,,320,11.4,,1013.5,
2024-02-05,33.4,26.2,41,0,,336,12.1,,1013.1,
2024-02-06,33.1,29.1,37,0,,10,10.5,,1021.8,
2024-02-07,33.4,28.2,39.9,0,,22,7.8,,1025.6,
2024-02-08,34.7,28.2,42.1,0,,89,4.2,,1026.2,
2024-02-09,36.3,30.2,48,0,,185,8.3,,1019.7,
2024-02-10,44.6,35.1,60.1,0.039,,226,8.9,,1008.9,
2024-02-11,47.1,39,50,0,,280,12.1,,1010,
2024-02-12,39.7,34,45,0,,330,7,,1011,
2024-02-13,36.1,32,37.9,0.24,,359,15,,1002.5,
2024-02-14,31.8,26.2,35.1,0,,291,19,,1009.2,
2024-02-15,30.4,25.2,39,0.012,,265,13.2,,1014.6,
2024-02-16,34.2,29.1,39,0,,274,16.5,,1006.5,
2024-02-17,31.5,25.2,35.1,0,,271,9.8,,1007.5,
2024-02-18,28.6,21.2,37,0,,239,14.1,,1008.9,
2024-02-19,32.7,27.1,37,0,,281,12.3,,1018.5,
2024-02-20,27.7,20.1,35.1,0,,67,7.8,,1031.7,
2024-02-21,29.8,22.1,37,0,,133,7.4,,1031.2,
2024-02-22,32.4,24.3,43,0.012,,185,8.5,,1015.4,
2024-02-23,37.9,36,43,0.051,,20,5.6,,1000.1,
2024-02-24,37.6,19.2,39.9,0,,320,14.1,,1004,
2024-02-25,24.1,16.2,35.1,0,,252,9.6,,1019,
2024-02-26,38.7,29.1,55.9,0,,221,13.4,,1016,
2024-02-27,39.6,30.2,52,0.091,,145,7,,1017.6,
2024-02-28,52.5,39,55.9,0.091,,195,21.3,,1005.1,
2024-02-29,36,26.2,39,0.051,,284,20.4,,1019.2,
2024-03-01,30.4,23.2,43,0,,244,12.1,,1033.8,
2024-03-02,38.5,34,46,1.161,,131,8.1,,1029.7,
2024-03-03,47.8,44.1,57.9,0.319,,343,7.4,,1020.2,
2024-03-04,46.2,37.9,53.1,0,,53,10.5,,1030.1,
2024-03-05,39.6,37.9,43,0.161,,57,8.5,,1023.5,
2024-03-06,43.5,41,51.1,0.37,,25,8.5,,1016.6,
2024-03-07,42.8,39.9,45,1.071,,14,19.4,,1013.5,
2024-03-08,40.1,34,45,0,,49,12.3,,1025.4,
2024-03-09,37.4,32,41,0.189,,114,13,,1022.1,
2024-03-10,45,39,52,0.921,,246,16.3,,992.7,
2024-03-11,39.4,33.1,45,0,,291,21.3,,995.4,
2024-03-12,43.9,37,55,0,,296,15,,1005.6,
2024-03-13,43.5,37,46.9,0,,67,10.5,,1013.5,
2024-03-14,43.2,37.9,48.9,0,,104,6.5,,1017,
2024-03-15,42.3,37,44.1,0.031,,35,9.6,,1009.2,
2024-03-16,43.5,39,51.1,0,,110,8.5,,1007.9,
2024-03-17,48.4,42.1,59,0.02,,227,14.3,,1001.4,
2024-03-18,45.3,37,50,0,,273,14.1,,1003.1,
2024-03-19,39.6,34,46.9,0,,275,14.1,,1003.1,
2024-03-20,42.3,33.1,54,0.079,,239,13.2,,1003.5,
2024-03-21,34.3,28.2,39.9,0,,273,21.7,,1012.2,
2024-03-22,31.8,26.2,41,0,,267,9.8,,1026,
2024-03-23,37.9,32,43,2.28,,24,13.7,,1015.4,
2024-03-24,34.2,27.1,42.1,0,,332,14.3,,1022.1,
2024-03-25,37,33.1,42.1,0,,33,18.8,,1032.6,
2024-03-26,36.9,35.1,39,0.051,,25,16.3,,1025.6,
2024-03-27,41.5,39,48,0.079,,36,6.7,,1019.6,
2024-03-28,46,43,51.1,1.669,,1,4.9,,1013,
2024-03-29,44.8,37.9,51.1,0.539,,309,19.7,,1000.8,
2024-03-30,46.2,39,57,0,,278,17,,1002.4,
2024-03-31,49.3,42.1,60.1,0,,323,8.1,,1009.4,
2024-04-01,44.6,37.9,50,0,,54,5.2,,1014.9,
2024-04-02,43.2,39.9,48,0.02,,45,11.2,,1016.5,
2024-04-03,40.8,37,44.1,0.598,,60,21.9,,1012.5,
2024-04-04,37,35.1,39,0.941,,16,26.4,,995,
2024-04-05,39.4,36,46,0,,282,14.8,,998.7,
