date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,30.6,28.2,32,0,0,12,8.7,,1019.7,
2024-01-02,31.6,27.1,37,0,0,248,16.3,,1019,
2024-01-03,34,32,36,0.469,0,242,8.1,,1014.8,
2024-01-04,28.9,24.3,32,0,3.15,300,10.1,,1021.9,
2024-01-05,26.4,24.3,31.1,0,1.969,267,8.7,,1024.6,
2024-01-06,29.8,28.2,33.1,0.098,1.969,82,9.2,,1013.3,
2024-01-07,29.1,28.2,32,0.059,3.937,295,5.3,,1009.3,
2024-01-08,34.5,32,39,0,3.15,246,7,,1026.6,
2024-01-09,37.2,33.1,52,0.421,1.969,131,17.6,,1002.5,
2024-01-10,41,32,46.9,0.071,0,244,22.1,,990.9,
2024-01-11,33.4,32,36,0.358,0,237,9.6,,1008.7,
2024-01-12,34.9,31.1,42.1,0.142,0,107,12.7,,1010.3,
2024-01-13,36.1,27.1,44.1,0.201,0,226,23.1,,991.7,
2024-01-14,22.8,10.2,27.1,0.61,3.937,245,20.6,,1010,
2024-01-15,11.7,8.2,19.2,0.059,9.843,228,9.6,,1021.3,
2024-01-16,15.8,11.1,20.1,0.079,9.843,277,8.3,,1014.7,
2024-01-17,11.8,6.3,22.1,0.441,12.992,233,16.1,,1013.6,
2024-01-18,20.5,16.2,25.2,0.37,18.11,242,7,,1016.5,
2024-01-19,20.8,11.1,23.2,0.098,20.866,5,7.4,,1015.3,
2024-01-20,11.8,6.3,17.2,0.02,20.866,279,10.5,,1021.9,
2024-01-21,18.7,14.2,26.2,0,18.898,258,10.3,,1032.4,
2024-01-22,23.5,16.2,35.1,0.012,16.142,213,15.4,,1029.5,
2024-01-23,32,31.1,34,0.299,12.992,90,5.3,,1029.8,
2024-01-24,36.3,33.1,42.1,0.429,11.024,89,3.8,,1023.5,
2024-01-25,37.6,35.1,39.9,0.031,3.937,31,6.5,,1020.3,
2024-01-26,36.7,36,37.9,1.071,1.969,7,7.6,,1016.4,
2024-01-27,37.2,35.1,41,0,0,227,6,,1022.4,
2024-01-28,36.7,32,37.9,0.319,0,31,10.9,,1012.9,
2024-01-29,32.5,31.1,34,0.012,0,289,6.7,,1017.6,
2024-01-30,34,32,37,0,0,167,7.1,,1017.8,
2024-01-31,35.4,31.1,39.9,0,0,208,11.4,,1017.3,
2024-02-01,36.3,35.1,37.9,0.012,0,235,14.3,,1012.5,
2024-02-02,35.8,33.1,37,0.02,0,346,8.3,,1018,
2024-02-03,34,28.2,39.9,0,0,359,3.6,,1021.6,
2024-02-04,30.9,25.2,42.1,0,0,343,2.7,,1018.1,
2024-02-05,30.9,26.2,36,0,0,28,5.3,,1019,
2024-02-06,30.4,22.1,41,0,0,27,4.5,,1024.6,
2024-02-07,33.3,25.2,45,0,0,145,3.8,,1025.4,
2024-02-08,40.5,33.1,54,0,0,138,5.8,,1019.9,
2024-02-09,50.5,42.1,59,0.059,0,205,13,,1010.6,
2024-02-10,48,39,54,0,0,241,12.6,,1009.6,
2024-02-11,37.2,33.1,39.9,0,0,268,8.3,,1015.6,
2024-02-12,34,29.1,37,0,0,273,5.8,,1012.7,
2024-02-13,31.5,26.2,37,0.012,0,297,11.2,,1009.4,
2024-02-14,26.2,21.2,31.1,0,0,300,9.4,,1022.3,
2024-02-15,27.9,20.1,37,0.13,0,192,12.7,,1014,
2024-02-16,30,24.3,32,0,0,270,13.4,,1015,
2024-02-17,24.6,21.2,28.2,0.039,0,279,12.6,,1011.5,
2024-02-18,23.4,20.1,31.1,0.161,3.15,233,24.2,,1007.6,
2024-02-19,26.1,16.2,30.2,0,3.15,24,6.7,,1023.9,
2024-02-20,28,19.2,44.1,0,1.969,102,5.6,,1028.2,
2024-02-21,39.4,31.1,54,0,0,165,11.4,,1020.5,
2024-02-22,45.9,41,48,0.012,0,207,9.6,,1006.6,
2024-02-23,39.2,27.1,42.1,0,0,238,11.4,,1001.7,
2024-02-24,23.5,16.2,27.1,0,0,346,9.2,,1014.3,
2024-02-25,27.7,20.1,44.1,0,0,206,13.4,,1013.9,
2024-02-26,43.7,33.1,55,0,0,228,7,,1012.6,
2024-02-27,52.2,45,68,0.252,0,168,12.7,,1004,
2024-02-28,51.1,22.1,64,0.339,0,216,19.7,,1000.6,
2024-02-29,24.1,20.1,31.1,0,0,265,15.7,,1027.2,
2024-03-01,35.2,25.2,52,0,0,181,9.6,,1028.6,
2024-03-02,45.3,41,50,0.012,0,199,6.5,,1021.8,
