date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,32.2,28.9,34,0,0,307,12,,1025.8,
2024-01-02,33.3,28,41,0,0,251,13.4,,1022.1,
2024-01-03,34.5,32,37,0,0,304,7.9,,1019.4,
2024-01-04,33.4,28,37.9,0,0,324,6.3,,1027.3,
2024-01-05,32.9,28,37,0.031,0,167,6.6,,1022.9,
2024-01-06,33.3,30.9,35.1,0.098,0.984,176,5.2,,1009,
2024-01-07,33.8,33.1,35.1,0.051,0.984,271,8.8,,1015.1,
2024-01-08,35.2,32,37.9,0.051,0,127,8.9,,1022.2,
2024-01-09,34.9,34,37,0.799,2.008,45,11.9,,990.7,
2024-01-10,33.1,30.9,35.1,0,0.984,245,12.6,,1000.7,
2024-01-11,32,28,35.1,0.012,0.984,233,9.1,,1009.4,
2024-01-12,35.1,30.9,37.9,0.65,2.992,107,14.4,,994.9,
2024-01-13,20.1,1.9,34,0.051,2.992,272,17.2,,1003.7,
2024-01-14,-5.8,-9,1.9,0,2.008,258,18.5,,1023.7,
2024-01-15,-2.9,-9,3.9,0,0.984,245,12.4,,1026.7,
2024-01-16,1.4,-5.1,5,0,0.984,252,16.6,,1021.3,
2024-01-17,13.8,3.9,23,0,0.984,237,13.4,,1016.9,
2024-01-18,21.9,12.9,28,0.071,2.008,344,5,,1018.2,
2024-01-19,11.8,6.1,16,0.031,2.008,306,14.8,,1025.5,
2024-01-20,12,5,19.9,0,2.008,302,10.3,,1034.9,
2024-01-21,13.3,1.9,21.9,0,2.008,202,9.8,,1035.7,
2024-01-22,30.2,21.9,35.1,0.012,2.008,206,12.7,,1025.7,
2024-01-23,35.6,34,37.9,0.291,0.984,62,3.4,,1024.2,
2024-01-24,37.8,34,39.9,0.252,0.984,41,5.8,,1020.7,
2024-01-25,39.4,37.9,42.1,0.311,0,36,8,,1018.1,
2024-01-26,39.9,39,42.1,0.201,0,343,6.8,,1019.8,
2024-01-27,39.4,37.9,42.1,0.071,0,14,7.2,,1021.6,
2024-01-28,38.3,35.1,41,0.051,0,339,12.3,,1020.2,
2024-01-29,35.2,30.9,39.9,0,0,237,11.1,,1020.3,
2024-01-30,39.4,37,39.9,0,0,294,9.1,,1014.1,
2024-01-31,38.5,37,39.9,0,0,250,10.9,,1019.7,
2024-02-01,42.3,36,55.9,0,0,296,10.2,,1014.7,
2024-02-02,38.5,33.1,43,0,0,45,9.6,,1020.7,
2024-02-03,34.9,30.9,39.9,0,0,74,6.8,,1020.3,
2024-02-04,38.1,32,46.9,0,0,40,9.4,,1018.4,
2024-02-05,36.9,33.1,44.1,0,0,17,9.5,,1020.9,
2024-02-06,36.9,33.1,43,0,0,158,5,,1023.6,
2024-02-07,40.5,30,48,0,0,166,6.5,,1021,
2024-02-08,53.6,46.9,60.1,0.169,0,191,17.5,,1008.6,
2024-02-09,49.3,37.9,57.9,0,0,249,12.4,,1008.5,
2024-02-10,37,33.1,43,0,0,298,7.9,,1015.6,
2024-02-11,34,28.9,43,0,0,352,5.7,,1018.7,
2024-02-12,36.1,25,46,0,0,256,4.1,,1013.3,
2024-02-13,35.4,30,42.1,0,0,326,7.5,,1017.1,
2024-02-14,38.1,27,48,0,0,165,5.9,,1022.5,
2024-02-15,40.8,32,46,0.059,0,289,14.2,,1016.2,
2024-02-16,30.2,21.9,33.1,0,0,325,9.2,,1021,
2024-02-17,21.4,14,30,0,0,274,16.3,,1020.2,
2024-02-18,34.5,24.1,46.9,0,0,264,11.1,,1012.8,
2024-02-19,38.5,26.1,52,0,0,204,4.8,,1020.5,
2024-02-20,45.1,32,57.9,0,0,180,8.6,,1021.1,
2024-02-21,55,46,68,0,0,216,10.9,,1013,
2024-02-22,52.2,46,61,0,0,58,6.4,,1006,
2024-02-23,41,28.9,52,0.15,2.008,350,12.5,,1006.9,
2024-02-24,30.6,24.1,36,0,0,349,10.6,,1017.5,
2024-02-25,46.4,32,62.1,0,0,214,9.8,,1009.6,
2024-02-26,57.4,42.1,72,0,0,139,10.4,,1005.3,
2024-02-27,63,53.1,73.9,0.512,0,196,12.5,,993.2,
2024-02-28,32.2,23,53.1,0.031,0,292,16.8,,1013.9,
2024-02-29,33.3,19.9,46,0,0,221,10.2,,1030.2,
2024-03-01,40.8,32,46.9,0,0,190,9.2,,1022,
2024-03-02,48.9,37,60.1,0,0,190,9,,1018,
2024-03-03,59.4,45,73.9,0,0,175,16.8,,1011.3,
2024-03-04,63,45,72,0.201,0,187,9.6,,1010.9,
2024-03-05,42.3,39.9,45,0.961,0,15,14.9,,1015.1,
2024-03-06,43.7,39.9,50,0,0,20,12.5,,1018.9,
2024-03-07,43.7,39,50,0,0,84,8.3,,1018.7,
2024-03-08,44.8,41,46.9,0.921,0,43,10.3,,1012,
2024-03-09,41.2,34,46.9,0,0,311,13.1,,1011.8,
2024-03-10,38.7,30.9,48.9,0,0,339,11.4,,1019.5,
2024-03-11,50.4,33.1,68,0,0,212,13,,1017.8,
2024-03-12,60.4,48,72,0,0,224,13.4,,1010.1,
2024-03-13,57.6,48,69.1,0.15,0,71,6.5,,1010.2,
2024-03-14,51.3,42.1,66.9,0.819,0,36,13.2,,1010.4,
2024-03-15,43,37.9,52,0,0,47,11.3,,1019,
2024-03-16,48.2,39.9,60.1,0,0,249,17.2,,1008.8,
2024-03-17,37.2,30.9,43,0,0,309,14.2,,1011.9,
2024-03-18,31.1,26.1,37,0,0,305,12.4,,1019.7,
2024-03-19,43.7,30,59,0,0,258,16.3,,1008.1,
2024-03-20,37.6,30.9,45,0,0,355,12.9,,1016.2,
2024-03-21,34.3,28,41,0,0,107,6.1,,1025.7,
2024-03-22,35.6,30.9,39.9,0.142,0,62,10.8,,1020.6,
2024-03-23,35.1,32,39.9,0,0,33,12.4,,1025.9,
2024-03-24,41.5,33.1,50,0,0,128,13.3,,1019.4,
