date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,42.1,37.9,43,0,0,337,8.3,,1017.6,
2024-01-02,40.6,33.1,46.9,0,0,327,11.6,,1020.6,
2024-01-03,39.6,34,48,0,0,227,5.6,,1018,
2024-01-04,42.1,32,46.9,0,0,333,11.2,,1019.3,
2024-01-05,34,27.1,41,0,0,253,6.7,,1026.9,
2024-01-06,36.3,33.1,39.9,1.02,0,81,9.8,,1013.2,
2024-01-07,40.1,34,53.1,0,0,260,10.9,,1009.7,
2024-01-08,43.3,37,51.1,0,0,321,6.5,,1028.5,
2024-01-09,43.9,39,59,2.24,0,138,13.9,,1009.4,
2024-01-10,52,41,57,0,0,258,13,,998.6,
2024-01-11,42.4,33.1,52,0,0,209,6.7,,1013,
2024-01-12,43.3,34,54,0.331,0,92,8.1,,1014.2,
2024-01-13,49.8,34,55,0.039,0,254,13.2,,999.4,
2024-01-14,36.9,31.1,50,0,0,264,13.9,,1015.8,
2024-01-15,29.3,25.2,31.1,0.311,0,52,4.9,,1023.5,
2024-01-16,29.7,20.1,32,0.039,3.15,348,13.2,,1013.9,
2024-01-17,22.3,16.2,30.2,0,1.969,242,7.8,,1020.2,
2024-01-18,28.4,22.1,39.9,0,1.969,307,3.8,,1020.6,
2024-01-19,32.5,29.1,34,0.28,3.937,348,8.7,,1011.5,
2024-01-20,26.4,21.2,29.1,0,5.118,300,12.7,,1021.6,
2024-01-21,25.5,21.2,34,0,3.937,311,11.9,,1032.4,
2024-01-22,28.9,21.2,39,0,3.937,283,4.7,,1035.4,
2024-01-23,35.1,29.1,45,0,3.15,25,2.9,,1032.3,
2024-01-24,42.3,37,51.1,0,0,27,3.6,,1029.1,
2024-01-25,51.6,44.1,64.9,0.098,0,37,3.1,,1020.2,
2024-01-26,64.8,52,80.1,0.051,0,273,8.7,,1015.6,
2024-01-27,55,42.1,61,0.209,0,42,4.9,,1021,
2024-01-28,45.7,42.1,46,1.26,0,18,10.1,,1007.9,
2024-01-29,44.4,41,48,0,0,330,15.7,,1013.7,
2024-01-30,41.7,39,44.1,0,0,104,7,,1020.9,
2024-01-31,40.8,37,44.1,0,0,33,4.2,,1019.2,
2024-02-01,41.2,32,54,0,0,188,7.1,,1016.1,
2024-02-02,47.7,42.1,52,0.012,0,359,10.3,,1013,
2024-02-03,43.2,35.1,51.1,0,0,358,8.1,,1018.2,
2024-02-04,41.5,32,51.1,0,0,35,3.1,,1015.9,
2024-02-05,42.1,32,53.1,0,0,26,6.3,,1013.9,
2024-02-06,39.6,33.1,48,0,0,25,9.4,,1021.2,
2024-02-07,39.6,31.1,53.1,0,0,37,3.8,,1025.8,
2024-02-08,43,34,55.9,0,0,177,6.5,,1025.1,
2024-02-09,48.9,42.1,63,0,0,168,7,,1017.8,
2024-02-10,53.1,45,64,0,,199,5.6,,1012.2,
2024-02-11,52.3,46.9,54,0.13,,48,4.7,,1012.9,
2024-02-12,48.6,44.1,48.9,0.11,0,101,4.2,,1010.5,
2024-02-13,43.7,36,48.9,0.74,0,340,13.4,,1004.8,
2024-02-14,42.3,35.1,46.9,0,0,327,11.9,,1020.2,
2024-02-15,38.8,32,48.9,0,0,195,7.4,,1018.7,
2024-02-16,45.1,39,51.1,0,0,285,10.1,,1014.3,
2024-02-17,38.5,31.1,42.1,0.098,0,320,12.7,,1012.1,
2024-02-18,35.2,26.2,50,0,0,218,8.3,,1014.5,
2024-02-19,42.1,33.1,48.9,0,0,346,5.3,,1022.2,
2024-02-20,39.6,31.1,51.1,0,0,60,5.2,,1029.6,
2024-02-21,39.6,31.1,50,0,0,71,5.6,,1028.2,
2024-02-22,40.8,33.1,53.1,0,0,109,6.7,,1013.5,
2024-02-23,46.2,41,52,0.012,0,346,5.2,,999.9,
2024-02-24,47.7,33.1,53.1,0.02,0,324,10.5,,1007.5,
2024-02-25,36.9,29.1,46.9,0,0,158,8.3,,1020.3,
2024-02-26,47.7,37.9,68,0,0,175,6,,1016.3,
2024-02-27,52.3,43,64,0.02,0,172,8.1,,1012.4,
2024-02-28,59.2,42.1,64.9,0.272,0,208,17,,1006.4,
2024-02-29,43.2,33.1,50,0,0,311,12.1,,1028.1,
2024-03-01,43.2,33.1,54,0.039,0,125,7,,1033.9,
2024-03-02,46.9,42.1,55,0.728,0,356,8.3,,1022.7,
2024-03-03,52.2,43,64.9,0,0,161,3.8,,1023.1,
2024-03-04,56.5,48.9,69.1,0.071,0,55,6.7,,1024.8,
2024-03-05,52.5,48,59,0.52,0,41,8.5,,1018.7,
2024-03-06,52.3,50,55.9,0.189,0,27,7.6,,1013,
2024-03-07,57.4,50,64.9,0.012,0,354,10.1,,1013.7,
2024-03-08,53.1,46,61,0,0,71,8.1,,1023.5,
2024-03-09,47.8,44.1,54,0.811,0,83,8.1,,1012.1,
2024-03-10,47.1,39.9,51.1,0.02,0,296,17,,1004.5,
2024-03-11,45.5,39.9,57.9,0,0,296,16.3,,1013.8,
2024-03-12,55.9,42.1,75,0,0,234,9.2,,1013.8,
2024-03-13,59,46,75,0,0,196,4.2,,1013.7,
2024-03-14,59.9,46.9,77,0,0,177,7,,1015.6,
