date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,32.2,21.6,46.4,0,,126,3.4,,1022.5,
2024-01-02,31.1,23,42.3,0,,79,4.1,,1022.9,
2024-01-03,29.1,20.8,41.5,0,,98,5.5,,1019.4,
2024-01-04,27.5,23.2,32.9,0,,25,5.3,,1014.6,
2024-01-05,29.1,24.6,36.1,0,,340,5,,1014.2,
2024-01-06,27,22.3,34.5,0,,179,6.5,,1014.2,
2024-01-07,24.6,18.5,33.1,0,,49,6.6,,1005.6,
2024-01-08,21.2,14.9,25.3,0.02,,1,14.9,,1012.7,
2024-01-09,23.2,12.4,36.5,0,,237,8.3,,1011.1,
2024-01-10,26.2,21.6,33.6,0,,271,13.8,,1002.4,
2024-01-11,18.3,10.4,23.2,0,,26,11.4,,1005.1,
2024-01-12,18.3,9.1,28.4,0.012,,243,12.1,,1008.9,
2024-01-13,5.9,-2,12.7,0.067,,51,21,,1016.5,
2024-01-14,5.4,-1.1,10.8,0.031,,45,12.5,,1016.8,
2024-01-15,2.7,-3.3,8.1,0.114,,17,13.6,,1024.9,
2024-01-16,10.9,-5.4,28.2,0,,308,8.1,,1021.8,
2024-01-17,26.1,15.1,37.9,0,,263,8.8,,1008.4,
2024-01-18,28.4,19,40.8,0,,19,14.5,,1016.9,
2024-01-19,20.1,13.3,28,0,,42,7.5,,1028.8,
2024-01-20,24.6,15.6,34.9,0,,36,8.5,,1019.4,
2024-01-21,34.7,23.4,47.5,0,,119,5.2,,1010.5,
2024-01-22,35.6,27,46,0,,108,4.3,,1012.5,
2024-01-23,35.6,28.4,46.4,0,,122,3.9,,1014.1,
2024-01-24,34.3,25.9,44.4,0,,84,3.1,,1016,
2024-01-25,34,25.2,43.9,0.008,,94,4,,1016.2,
2024-01-26,34.5,30.7,40.6,0.071,,340,5,,1023.3,
2024-01-27,33.3,23.7,43.7,0,,177,5.1,,1029.1,
2024-01-28,38.5,25.7,54,0,,147,4.3,,1027.8,
2024-01-29,40.6,30,52.7,0,,112,4.5,,1027.1,
2024-01-30,40.1,29.3,53.8,0,,135,3.4,,1024.7,
2024-01-31,39.7,27.7,55.2,0,,164,3.8,,1019,
2024-02-01,42.8,33.6,55.2,0,,169,4.3,,1011,
2024-02-02,39.2,32.5,48,0.043,,77,5.5,,1001.7,
2024-02-03,36.1,30.6,39.9,0.835,,354,8.1,,1001,
2024-02-04,32.9,27.3,39.7,0.004,,177,4.1,,1016.5,
2024-02-05,34.2,25,45,0,,132,4.4,,1018.8,
2024-02-06,40.5,29.5,53.1,0,,173,7,,1010,
2024-02-07,41.9,34.5,52.3,0,,207,9,,997.7,
2024-02-08,37.6,31.3,46.6,0,,259,8.1,,1004.3,
2024-02-09,31.3,26.2,37.8,0.055,,72,6.4,,1011.2,
2024-02-10,27,23.5,30.9,0.059,,350,8.8,,1016.2,
2024-02-11,27.3,21,34.3,0,,205,5.2,,1020.9,
2024-02-12,33.3,23,45,0,,200,5.2,,1017.6,
2024-02-13,35.6,27,47.1,0,,181,6,,1015.4,
2024-02-14,36.1,28,47.8,0,,292,7.3,,1014,
2024-02-15,34.9,25,47.3,0,,351,8.1,,1016,
2024-02-16,27.7,21,33.8,0.181,,34,10.4,,1021.5,
2024-02-17,23.7,16.2,33.1,0.008,,109,6.2,,1026.8,
2024-02-18,30.7,17.1,43.9,0,,219,5,,1016.1,
2024-02-19,41.4,30.7,53.2,0,,211,7.7,,1015.3,
2024-02-20,44.4,31.5,58.6,0,,227,6.6,,1016.6,
2024-02-21,46,38.8,58.3,0,,230,8.1,,1011.1,
2024-02-22,38.8,32.9,46.8,0.008,,347,6.3,,1019.1,
2024-02-23,37.2,27.7,48.2,0,,287,9,,1022.8,
2024-02-24,40.6,25.9,59.2,0,,254,7.3,,1016.8,
2024-02-25,45.5,32.2,61.7,0,,243,11.4,,1011.6,
2024-02-26,48.2,39,60.1,0,,239,15.3,,1002.8,
2024-02-27,34,21.2,43.3,0.11,,332,13.9,,1004.1,
2024-02-28,32.4,18.3,49.1,0,,215,8.3,,1020.3,
2024-02-29,42.1,28.2,58.1,0,,244,6,,1013.1,
2024-03-01,46.6,34.5,60.1,0,,223,8.3,,1008.9,
2024-03-02,48.9,36.9,63.5,0,,207,14.9,,1000.8,
2024-03-03,40.6,33.4,48.7,0.051,,313,10.7,,1001,
2024-03-04,35.8,28.9,44.8,0,,28,8.5,,1010.5,
2024-03-05,35.4,27,44.6,0,,98,8,,1015.7,
2024-03-06,41.9,30.9,54.7,0,,181,6,,1009.3,
2024-03-07,34.9,29.7,40.3,0.051,,23,9.4,,1010.2,
2024-03-08,30.6,27.7,35.8,0.059,,58,8.1,,1021.5,
2024-03-09,35.6,22.3,50.2,0,,222,4.2,,1022.4,
2024-03-10,43.7,28.8,61.2,0,,226,5.6,,1016.7,
2024-03-11,45.7,34.9,57.9,0,,222,5.8,,1012.2,
2024-03-12,46.6,37,56.8,0,,239,7.9,,1009.7,
2024-03-13,40.6,35.6,45,0.465,,8,8.9,,1007.1,
2024-03-14,34,29.5,37.6,1.091,,35,13.2,,1018.6,
2024-03-15,36,27.3,43.7,0.063,,109,8.9,,1024.2,
2024-03-16,38.8,27.3,48.6,0,,6,5.3,,1020.3,
2024-03-17,40.8,34.5,48.6,0,,350,5,,1022,
2024-03-18,43,30,57.4,0,,236,5,,1023.3,
2024-03-19,48.4,37,60.8,0,,217,5.2,,1016.2,
2024-03-20,47.1,36.1,60.3,0,,200,5.8,,1013.9,
2024-03-21,50.2,36.1,65.3,0,,250,7,,1011.6,
2024-03-22,46.8,38.8,56.8,0,,92,8.2,,1016.3,
