date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,58.6,48.2,64.4,0.087,,357,10.8,,1022.3,
2024-01-02,47.5,42.8,51.8,0.236,,77,12.8,,1021.4,
2024-01-03,49.6,44.6,55.4,1.071,,10,11.1,,1018.8,
2024-01-04,52.3,44.6,59,0.008,,100,14.1,,1018.8,
2024-01-05,55,48.2,60.8,1.043,,352,12.2,,1009.9,
2024-01-06,54.1,46.4,60.8,0,,326,6.8,,1013.8,
2024-01-07,53.8,48.2,59,0.012,,107,11.7,,1018.9,
2024-01-08,60.8,50,73.4,0.839,,163,18.3,,1004.5,
2024-01-09,49.1,42.8,55.4,0.012,,303,17.3,,1011.4,
2024-01-10,57.6,48.2,66.2,0,,194,11.7,,1011.7,
2024-01-11,66.9,59,75.2,0.039,,179,15.9,,1006,
2024-01-12,55.4,44.6,69.8,0.039,,307,17.8,,1010,
2024-01-13,52.2,42.8,60.8,0,,161,10.2,,1017.6,
2024-01-14,43.7,32,55.4,0,,346,12.5,,1018.7,
2024-01-15,26.6,24.8,32,0,,343,16.4,,1019.7,
2024-01-16,24.6,17.6,30.2,0,,343,17,,1027.6,
2024-01-17,34,23,42.8,0,,96,8,,1025.3,
2024-01-18,55.4,42.8,62.6,0,,239,7.6,,1015.5,
2024-01-19,48.2,37.4,55.4,0,,358,15.5,,1025,
2024-01-20,38.3,30.2,44.6,0,,46,10.8,,1031.3,
2024-01-21,39.2,35.6,44.6,0,,96,13.5,,1027.5,
2024-01-22,57.2,44.6,64.4,1.228,,138,15.2,,1017.3,
2024-01-23,66.2,62.6,69.8,1.445,,148,12.2,,1014.2,
2024-01-24,62.4,60.8,68,0.972,,90,10.2,,1015.1,
2024-01-25,62.2,55.4,69.8,0.087,,355,7.9,,1016.2,
2024-01-26,58.3,53.6,62.6,0.362,,38,8.3,,1015,
2024-01-27,55.2,50,59,0,,321,13.2,,1020.4,
2024-01-28,52.3,41,60.8,0,,331,10.3,,1027.1,
2024-01-29,58.1,48.2,68,0,,304,5.1,,1026.2,
2024-01-30,61,51.8,69.8,0,,271,11.2,,1022.7,
2024-01-31,63.5,55.4,75.2,0,,278,8.8,,1022.3,
2024-02-01,62.6,55.4,68,0.008,,172,9.1,,1018.5,
2024-02-02,64.2,57.2,71.6,0.106,,139,13.6,,1011,
