date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,57,50,66.2,0,,357,5.8,,1018.8,
2024-01-02,55.6,46.4,66.9,0,,17,4.7,,1022.9,
2024-01-03,56.7,51.1,64.9,0.075,,344,3.5,,1018.3,
2024-01-04,56.7,51.1,64.9,0,,6,2.5,,1020.1,
2024-01-05,54.9,46.9,66,0,,0,2.2,,1020.9,
2024-01-06,55,44.1,64.4,0,,358,2.4,,1019,
2024-01-07,53.8,50,57.9,0,,321,7.2,,1014.9,
2024-01-08,52.7,43,62.1,0,,350,2.4,,1023.4,
2024-01-09,52.7,44.6,64.4,0,,3,2.1,,1021.8,
2024-01-10,52.9,44.1,62.1,0,,21,2.9,,1015.6,
2024-01-11,55,48,64,0,,342,3.7,,1016.6,
2024-01-12,52.3,43,63,0,,0,2.5,,1021.1,
2024-01-13,52.9,42.8,63,0,,13,2.3,,1018.7,
2024-01-14,54.3,48,63,0,,13,1.9,,1017.5,
2024-01-15,55.2,48,66.2,0,,344,1.9,,1017.9,
2024-01-16,56.7,48.2,69.1,0,,347,2.7,,1018.1,
2024-01-17,58.3,55.4,61,0,,19,1.8,,1017.6,
2024-01-18,59.5,54,68,0,,1,2.6,,1018.5,
2024-01-19,59.9,53.6,69.8,0,,339,1.9,,1016.1,
2024-01-20,57.7,55.9,59,0.358,,74,3.9,,1013.2,
2024-01-21,60.4,57,66,0.102,,51,2.5,,1012.5,
2024-01-22,57.6,55.9,60.1,0.949,,69,5.7,,1009,
2024-01-23,57.7,46,68,0,,358,4.2,,1013.1,
2024-01-24,59.9,57,64,0,,31,2,,1019.9,
2024-01-25,59.5,55,66,0,,353,2.1,,1020.3,
2024-01-26,60.3,50,73,0,,356,1.7,,1022.6,
2024-01-27,64.4,53.1,77,0,,6,1.8,,1021.5,
2024-01-28,65.7,53.6,80.1,0,,354,2.2,,1019.6,
2024-01-29,66.4,55.4,80.1,0,,347,2.2,,1018.8,
2024-01-30,62.4,51.8,73.9,0,,11,2,,1017.1,
2024-01-31,59.7,53.1,68,0.004,,53,3.4,,1014.5,
2024-02-01,54.5,51.1,57.9,1.024,,69,6.3,,1008.7,
2024-02-02,55.2,48.2,63,0.079,,337,4,,1013.3,
2024-02-03,54.7,46.9,61,0.075,,11,3,,1016.5,
2024-02-04,55.2,53.1,60.1,1.87,,102,9.3,,1014.2,
2024-02-05,55.8,53.6,57.2,1.15,,79,4.3,,1011,
2024-02-06,52.7,50,55.4,0.622,,23,1.5,,1006.1,
