date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,62.1,52,73,0,0,334,2,,1022.8,
2024-01-02,63,55.9,72,0,0,337,4.2,,1021.1,
2024-01-03,63.1,55,73.9,0,0,30,4.9,,1018.6,
2024-01-04,68.7,57.9,79,0,0,322,5.8,,1016.4,
2024-01-05,69.3,62.1,78.1,0,0,77,12.6,,1018.1,
2024-01-06,75.2,71.1,80.1,0.079,0,172,9.2,,1014.2,
2024-01-07,70.3,62.1,73.9,0.071,0,329,5.6,,1017.9,
2024-01-08,67.8,60.1,75.9,0,0,62,11.9,,1020,
2024-01-09,75.6,72,80.1,0.031,0,158,16.1,,1013.1,
2024-01-10,70.5,64,78.1,0.11,0,318,2.9,,1014.9,
2024-01-11,66.9,63,72,0.382,0,25,4.9,,1016.5,
2024-01-12,75.9,71.1,87.1,0.02,0,157,9.4,,1013.1,
2024-01-13,77.4,68,86,0,0,235,10.3,,1013.9,
2024-01-14,69.6,64,75,0.098,0,33,8.9,,1018.3,
2024-01-15,74.7,71.1,81,0,0,133,10.3,,1017.4,
2024-01-16,77.2,72,84.9,0.059,0,196,8.1,,1014.9,
2024-01-17,71.1,64.9,75,0,0,12,7.8,,1019.8,
2024-01-18,74.1,69.1,80.1,0,0,102,7.6,,1019.3,
2024-01-19,72.9,69.1,77,0.012,0,328,3.1,,1017.1,
2024-01-20,69.8,57,73.9,0,0,342,7.6,,1020.4,
2024-01-21,60.6,52,71.1,0,0,22,11.6,,1026.2,
2024-01-22,69.3,64.9,75,0.031,0,85,17.6,,1027.1,
2024-01-23,73.8,70,80.1,0,0,101,15.4,,1024.6,
2024-01-24,76.3,73,82,0,0,100,14.8,,1022.9,
2024-01-25,76.5,73.9,79,0,0,108,11.4,,1022,
2024-01-26,75.9,72,81,0,0,110,10.5,,1021.2,
2024-01-27,77.2,73,82,0,0,139,9.8,,1019.6,
2024-01-28,76.8,62.1,84.9,0,0,245,9.4,,1017.1,
2024-01-29,62.8,57,68,0,,320,9.2,,1018.6,
2024-01-30,61.3,53.1,73,0,0,305,5.2,,1019.8,
2024-01-31,63.3,55,73,0,0,295,7.6,,1018.3,
2024-02-01,64.2,55.9,73.9,0,0,328,5.2,,1018.8,
2024-02-02,67.8,61,77,0,0,63,4.5,,1015.2,
