date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,42.8,37.9,48.9,0,,325,4.4,,1017.1,
2024-01-02,38.1,32,46,0,,306,5.4,,1018.4,
2024-01-03,39.2,35.1,45,0,,256,6.6,,1016.8,
2024-01-04,39.6,30,48,0,,289,4.8,,1016.7,
2024-01-05,33.6,28,41,0,,271,6.7,,1024.9,
2024-01-06,35.2,32,37.9,0.571,,22,11.2,,1017.6,
2024-01-07,37.8,37,39,0.232,,8,7.6,,1005.7,
2024-01-08,40.8,37,48,0,,301,4,,1026.8,
2024-01-09,44.1,37.9,54,1.114,,64,10.1,,1017.3,
2024-01-10,48.6,44.1,54,0.799,,257,16.2,,993.6,
2024-01-11,43.7,41,48,0,,257,10.6,,1011.3,
2024-01-12,43.9,39,50,0.138,,205,8.2,,1018.3,
2024-01-13,47.7,36,55,1.953,,275,15.3,,996,
2024-01-14,35.2,28,43,0.008,,260,14.2,,1013.2,
2024-01-15,27.3,25,28.9,0.02,,257,8.6,,1024,
2024-01-16,28.8,23,33.1,0.374,,8,7.1,,1012.1,
2024-01-17,23.5,19,30,0,,272,11.8,,1016.4,
2024-01-18,28.8,23,33.1,0,,260,9.5,,1020.8,
2024-01-19,30.9,27,33.1,0.083,,35,6.6,,1011.2,
2024-01-20,23.5,19.9,28,0,,302,4.8,,1015.7,
2024-01-21,27.1,21.9,36,0,,310,4.5,,1027.5,
2024-01-22,31.8,26.1,37.9,0,,252,9,,1033.7,
2024-01-23,37,34,39.2,0,,258,6.7,,1032.9,
2024-01-24,42.4,39,46.4,0.106,,18,3.9,,1031.1,
2024-01-25,49.5,44.6,54,0.24,,286,5.8,,1021.2,
2024-01-26,43.5,42.1,46.4,0.169,,29,8.6,,1018.4,
2024-01-27,44.1,42.1,46,0,,317,3.5,,1022.4,
2024-01-28,39.4,37.9,42.8,0.764,,42,10.7,,1010.2,
2024-01-29,38.1,37,39.9,0.043,,20,4.8,,1011.2,
2024-01-30,36.5,36,37.9,0,,67,4.9,,1022.6,
2024-01-31,37.2,35.1,39.2,0.004,,65,5.3,,1020.5,
2024-02-01,39.7,35.1,43,0.012,,257,5,,1016,
2024-02-02,40.8,37.9,42.8,0.161,,339,4.5,,1012.6,
2024-02-03,39.2,34,46.9,0,,47,5.7,,1017.6,
2024-02-04,40.3,34,48.9,0,,17,5.2,,1015.7,
2024-02-05,39.2,34,48,0,,43,7.3,,1014.5,
2024-02-06,37,30.9,45,0,,46,8.3,,1021.9,
2024-02-07,41.4,35.1,50,0,,36,5.3,,1025.8,
2024-02-08,42.8,36,52,0,,233,4.2,,1026,
2024-02-09,45.7,41,52,0.008,,181,5,,1019.4,
2024-02-10,49.8,44.1,55.9,0,,248,5.1,,1011.5,
2024-02-11,46,43,48.9,0,,292,4.8,,1013.2,
2024-02-12,41.9,37.9,45,0.028,,350,5.1,,1012.3,
2024-02-13,37.2,33.8,41,0.638,,340,8.5,,1003.6,
2024-02-14,35.1,32,39.9,0,,310,5,,1016.6,
2024-02-15,33.8,28,37.9,0.043,,239,7.7,,1018.3,
2024-02-16,40.3,36,46.9,0,,282,6,,1011.8,
2024-02-17,33.1,28,36,0.22,,331,4.2,,1010.1,
2024-02-18,33.8,27,41,0,,261,13.2,,1012.3,
2024-02-19,37.4,32,44.1,0,,269,6.6,,1021.4,
2024-02-20,34.2,30,39.9,0,,65,8.2,,1032.1,
2024-02-21,36.5,33.1,43,0,,81,7.2,,1030.4,
2024-02-22,39,35.1,43,0.051,,193,5.9,,1015.9,
2024-02-23,44.1,42.1,46.4,0.161,,341,3.2,,999.7,
2024-02-24,40.5,30,46,0,,327,4.4,,1006.2,
2024-02-25,33.1,25,41,0,,242,6.2,,1020.4,
2024-02-26,42.6,35.1,54,0.13,,247,4.9,,1018,
2024-02-27,47.8,42.1,54,0.165,,19,6.1,,1015.3,
2024-02-28,53.1,45,57.2,0.398,,273,4.5,,1005.5,
2024-02-29,37.9,33.1,45,0,,284,6.4,,1024.2,
2024-03-01,37.9,30.9,44.1,0,,211,6,,1035.8,
2024-03-02,46.8,41,53.1,0.996,,39,7.9,,1025.7,
2024-03-03,55.4,46.4,66,0,,336,3,,1021.7,
2024-03-04,49.3,45,55.9,0,,60,8.6,,1028.1,
2024-03-05,44.1,42.1,46.4,0.594,,29,10.4,,1021,
2024-03-06,46.8,46,48.2,1.331,,346,8,,1015.2,
2024-03-07,49.8,45,55.9,0.209,,18,5.5,,1012.4,
2024-03-08,46.2,41,54,0,,48,7.5,,1025.5,
2024-03-09,43,41,46.9,0.539,,84,12.4,,1017,
2024-03-10,44.4,37.9,51.1,0.429,,297,6.6,,997,
2024-03-11,44.4,37,55,0,,305,4.7,,1004.7,
2024-03-12,54,43,66.9,0,,283,5.3,,1010.1,
2024-03-13,52.3,46.9,61,0,,17,4.2,,1013.3,
2024-03-14,54.1,45,72,0,,344,4.3,,1015.9,
2024-03-15,59.7,52,70,0.079,,292,6.2,,1007.5,
2024-03-16,52.2,46.9,57,0,,276,5.5,,1009.5,
2024-03-17,54.1,48.9,62.1,0.004,,289,4.8,,1002.7,
2024-03-18,46.2,41,50,0,,268,6.1,,1006.5,
2024-03-19,41.2,36,46,0.008,,280,8.2,,1007.9,
2024-03-20,45,37.9,55.9,0.079,,274,6.4,,1005.6,
2024-03-21,37.4,30.9,43,0,,287,6.3,,1019.5,
2024-03-22,36.5,30,43,0,,228,6.2,,1028.1,
2024-03-23,43.7,39,52,2.567,,31,8.4,,1012,
2024-03-24,40.5,33.1,50,0,,48,7.9,,1023.8,
2024-03-25,43.9,37,53.1,0,,44,11.8,,1030.1,
2024-03-26,45.1,41,51.8,0,,72,8.8,,1023.2,
2024-03-27,45.1,42.1,48.2,0.094,,331,4.6,,1019.5,
2024-03-28,47.1,44.1,48.9,0.862,,334,4.5,,1014.2,
2024-03-29,47.8,42.8,57.2,0.008,,319,6,,1008,
2024-03-30,50.2,41,61,0.02,,282,7.6,,1008.7,
2024-03-31,54,46.4,62.6,0.012,,270,5.7,,1011.9,
2024-04-01,50.2,48,53.6,0.087,,34,5.8,,1014.7,
2024-04-02,46,44.1,48.2,1.142,,33,10.2,,1013.5,
2024-04-03,42.8,42.1,44.1,1.433,,46,18.8,,1004.1,
2024-04-04,43.9,39,51.1,0.209,,356,7.1,,996,
2024-04-05,44.6,39.9,50,0,,278,5.6,,1004,
