date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,57.7,45,70,0,,309,3.8,,1022.7,
2024-01-02,55.4,50,62.1,0,,351,7,,1022.5,
2024-01-03,58.6,48.9,70,0.035,,109,4.3,,1019.1,
2024-01-04,57,52,63,0.024,,12,8.6,,1017.9,
2024-01-05,61,50,72,0,,68,10.1,,1019.9,
2024-01-06,69.8,64.9,79,0.787,,197,12.4,,1012.2,
2024-01-07,61,52,69.1,0.039,,308,8.6,,1019.2,
2024-01-08,60.1,50,66.9,0,,62,9.6,,1022.1,
2024-01-09,68.7,57.9,77,0.437,,179,14.2,,1010.6,
2024-01-10,56.3,48.9,62.1,0,,282,7.7,,1015.4,
2024-01-11,55.4,45,64,0.043,,34,4.7,,1018.9,
2024-01-12,68.9,57,78.1,0.114,,157,10,,1012.2,
2024-01-13,64.2,53.1,75,0.193,,293,11.6,,1014.1,
2024-01-14,53.4,51.1,57.9,0.043,,18,6,,1021.5,
2024-01-15,64.4,53.1,75,0.417,,56,3.7,,1018.4,
2024-01-16,69.3,63,73,0.134,,222,10.7,,1013.7,
2024-01-17,50.9,43,62.1,0,,354,9,,1023.3,
2024-01-18,58.3,46.9,72,0.114,,321,6.7,,1021.1,
2024-01-19,63,55.9,75.9,0.114,,282,5.5,,1017.7,
2024-01-20,51.1,45,57.9,0,,355,9.3,,1024.1,
2024-01-21,47.1,37,57.9,0,,8,10.8,,1030.7,
2024-01-22,57,45,68,0,,41,6.8,,1030.7,
2024-01-23,67.3,60.1,75,0,,100,10.7,,1026.8,
2024-01-24,70.3,63,79,0,,106,9.8,,1024.7,
2024-01-25,72.3,62.1,82.9,0,,132,6.9,,1022.8,
2024-01-26,72,66,79,0,,118,4,,1022.1,
2024-01-27,73.2,62.1,82,0,,173,7.9,,1019.3,
2024-01-28,65.8,54,71.1,0.079,,255,12,,1016.5,
2024-01-29,54.3,48,61,0,,309,9.6,,1019.5,
2024-01-30,56.5,46.9,66.9,0,,312,4.4,,1020.8,
2024-01-31,59.2,48.9,71.1,0,,290,9.9,,1018.2,
2024-02-01,57.6,48.9,69.1,0,,3,5.2,,1020.7,
2024-02-02,59.7,52,70,0,,295,4.4,,1016,
2024-02-03,61.3,48.9,73.9,0,,41,5.7,,1012,
2024-02-04,65.7,57.9,72,0.189,,152,10.3,,1004.4,
2024-02-05,58.8,54,66.9,0.063,,4,5.8,,1002.1,
2024-02-06,57.7,52,66.9,0,,347,14.2,,1009.4,
2024-02-07,56.8,50,68,0,,9,10.6,,1020.6,
2024-02-08,60.3,50,71.1,0,,37,6.3,,1023.9,
2024-02-09,65.1,55,75,0,,123,5.1,,1023.1,
2024-02-10,67.8,57,78.1,0,,182,6.6,,1020.5,
2024-02-11,73.2,66,82,0,,174,9.7,,1016.3,
2024-02-12,75,68,82.9,0.031,,204,14.1,,1011.5,
2024-02-13,64,55.9,71.1,0,,282,12.2,,1015.3,
2024-02-14,60.1,51.1,72,0,,14,7.1,,1022.1,
2024-02-15,63.3,54,75.9,0,,71,3.7,,1022.6,
2024-02-16,67.6,57.9,77,0,,304,6.5,,1017.8,
2024-02-17,60.1,53.1,66.9,1.098,,16,4.8,,1014,
2024-02-18,57,55,57.9,1.469,,10,10.4,,1013.8,
2024-02-19,55.9,50,66,0.201,,351,8.5,,1019.2,
2024-02-20,56.5,45,69.1,0,,354,5.3,,1024.2,
2024-02-21,56.8,48.9,68,0,,3,8.6,,1024.3,
2024-02-22,61.2,48,73.9,0,,310,4.7,,1019.2,
2024-02-23,64.6,51.1,75.9,0.079,,226,13.4,,1011.2,
2024-02-24,63.9,57,73,0,,291,11.4,,1015.1,
2024-02-25,61,52,73,0,,329,5.5,,1021.3,
2024-02-26,62.2,48.9,75,0,,95,5.1,,1022.7,
2024-02-27,66,54,78.1,0,,154,7.6,,1021,
2024-02-28,72.1,61,82.9,0,,218,9,,1020.2,
2024-02-29,67.3,62.1,75,0,,17,8.1,,1023.8,
2024-03-01,72,63,81,0,,119,9,,1023.1,
2024-03-02,72.7,66.9,80.1,0,,175,6.5,,1020.9,
2024-03-03,69.6,64.9,79,0.52,,73,5.5,,1019.4,
2024-03-04,68.5,62.1,79,0,,51,6.4,,1019.1,
2024-03-05,71.1,64.9,79,0.008,,90,7.7,,1015.8,
2024-03-06,73.6,66.9,81,0.102,,231,10.7,,1011.8,
2024-03-07,72.1,66,81,0,,34,5.3,,1013.9,
2024-03-08,73.9,64.9,86,0.012,,76,5.8,,1015.2,
2024-03-09,78.8,73,88,0,,193,12.1,,1012.4,
2024-03-10,71.8,64.9,77,0.154,,295,10.9,,1014.1,
2024-03-11,62.8,55,71.1,0,,16,8.6,,1022.1,
2024-03-12,66.2,54,77,0,,56,4.7,,1021.3,
2024-03-13,71.1,60.1,81,0,,312,4,,1018.4,
2024-03-14,73.6,64,86,0,,25,3.4,,1019.5,
2024-03-15,74.8,66,84.9,0,,175,5.7,,1018.4,
2024-03-16,75.4,68,84,0,,246,6.8,,1015.2,
2024-03-17,75,69.1,84,0,,250,8.5,,1013.1,
2024-03-18,75.2,70,84,0,,254,11.1,,1012.2,
2024-03-19,59.9,51.1,68,0,,20,12.1,,1018.4,
2024-03-20,61.5,50,73.9,0,,4,2.5,,1019.2,
2024-03-21,67.6,55.9,79,0,,68,7.3,,1018.9,
2024-03-22,68,63,71.1,0.72,,142,11.8,,1014.7,
2024-03-23,71.4,64,81,0,,269,10.2,,1007.3,
2024-03-24,66.9,62.1,73.9,0,,11,11.9,,1012.8,
2024-03-25,69.1,61,78.1,0,,72,11,,1017.2,
2024-03-26,72.9,63,82.9,0,,127,10.6,,1014.5,
2024-03-27,73.8,70,81,0,,173,7,,1014,
2024-03-28,72.5,64,79,0.358,,271,10.8,,1012.5,
2024-03-29,66.4,59,77,0,,3,6.3,,1020.2,
2024-03-30,68.7,55.9,80.1,0,,349,4.7,,1020.9,
2024-03-31,70,59,79,0,,269,4.3,,1020.3,
2024-04-01,73.2,62.1,84,0,,197,6.3,,1019,
2024-04-02,76.3,66.9,86,0,,215,7.6,,1014.6,
2024-04-03,72.9,63,82,0.457,,221,13,,1007.2,
2024-04-04,66.6,61,75.9,0,,279,11.3,,1011.2,
2024-04-05,66.9,55.9,79,0,,276,10.5,,1016,
2024-04-06,65.8,60.1,75.9,0,,317,7,,1016.8,
2024-04-07,65.8,54,78.1,0,,26,5.7,,1018.9,
2024-04-08,67.5,55.9,78.1,0,,87,8.3,,1021.9,
2024-04-09,70.5,60.1,82,0,,120,10.1,,1020.3,
2024-04-10,74.5,66,86,0,,129,11.6,,1015.5,
2024-04-11,74.7,70,81,0.311,,200,16.3,,1010.9,
2024-04-12,70.2,62.1,79,0,,285,13,,1019,
2024-04-13,68.4,60.1,80.1,0,,356,6.6,,1023.5,
2024-04-14,69.6,57,82,0,,23,4.2,,1022.1,
2024-04-15,72.5,62.1,84,0,,127,6,,1020.1,
2024-04-16,72.1,61,84.9,0,,107,8.9,,1020.8,
2024-04-17,73.2,64,84.9,0,,108,8.1,,1020.8,
2024-04-18,76.3,66.9,88,0,,147,5.7,,1018.9,
2024-04-19,78.8,66,90,0,,305,4.8,,1017.6,
2024-04-20,79.3,69.1,90,0,,310,4.9,,1017.6,
2024-04-21,78.1,70,87.1,0,,249,9.5,,1014.9,
2024-04-22,68,62.1,75,0,,359,9.5,,1016.6,
2024-04-23,66.6,57.9,77,0,,48,8.5,,1021.7,
2024-04-24,69.1,57.9,81,0,,77,6,,1021,
2024-04-25,72.5,62.1,84.9,0,,109,4.5,,1020.2,
2024-04-26,73.9,64.9,84,0,,66,7,,1021.1,
2024-04-27,73,64.9,82,0.02,,90,12.2,,1023.2,
2024-04-28,72.5,64,81,0,,88,11.6,,1021.9,
