date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,42.3,37,46.9,0,0,0,5.6,,1016.8,
2024-01-02,38.7,32,44.1,0,0,317,9.2,,1019.1,
2024-01-03,36.3,29.1,45,0,0,262,6,,1017.5,
2024-01-04,39.4,29.1,45,0,0,335,9.2,,1017.6,
2024-01-05,31.5,25.2,37.9,0,0,270,7,,1026,
2024-01-06,31.6,27.1,41,1.039,0,42,8.5,,1015.3,
2024-01-07,39,37,43,0.051,0,305,11.9,,1006.9,
2024-01-08,41.2,31.1,48,0,0,322,7.6,,1027.5,
2024-01-09,39,30.2,57.9,2.091,0,95,13.4,,1014.1,
2024-01-10,51.8,44.1,59,0,0,250,20.8,,995.7,
2024-01-11,44.2,36,48.9,0,0,245,9.8,,1012.2,
2024-01-12,41.2,32,51.1,0.37,0,68,8.7,,1016.9,
2024-01-13,50.5,34,59,0.37,0,238,21,,997.4,
2024-01-14,36.1,26.2,46,0,0,253,16.3,,1014.6,
2024-01-15,27.3,25.2,29.1,0.189,0,314,4.5,,1024,
2024-01-16,27.1,19.2,30.2,0.228,1.969,351,11.2,,1012.5,
2024-01-17,20.1,14.2,25.2,0,1.969,266,13.4,,1018.6,
2024-01-18,26.1,21.2,32,0,1.969,222,6.7,,1020.9,
2024-01-19,29.5,24.3,31.1,0.299,1.969,358,8.7,,1011,
2024-01-20,22.5,16.2,25.2,0,5.118,295,12.7,,1018,
2024-01-21,25.7,21.2,33.1,0,3.937,297,11.4,,1029.3,
2024-01-22,25.5,17.2,35.1,0,3.15,246,8.3,,1034.7,
2024-01-23,34,27.1,45,0,1.181,129,3.6,,1032.7,
2024-01-24,38.7,35.1,46,0.012,0,35,2.2,,1030.2,
2024-01-25,47.5,43,54,0.209,0,339,3.4,,1020.6,
2024-01-26,48.7,45,51.1,0.161,0,59,5.8,,1017.1,
2024-01-27,46.9,42.1,53.1,0,0,53,4.7,,1021.8,
2024-01-28,41.7,37.9,42.1,0.89,0,38,11.6,,1008.5,
2024-01-29,39.7,36,42.1,0,0,343,14.3,,1012,
2024-01-30,36.9,34,39,0,0,60,5.2,,1022,
2024-01-31,38.7,36,43,0,0,36,3.8,,1019.7,
2024-02-01,39.6,30.2,48.9,0,0,229,5.6,,1015.9,
2024-02-02,43.2,39.9,46,0.098,0,354,8.5,,1012.4,
2024-02-03,41.2,36,46.9,0,0,345,10.3,,1017.6,
2024-02-04,39.2,31.1,50,0,0,326,5.3,,1015.7,
2024-02-05,39.6,31.1,48,0,0,27,7.1,,1014.2,
2024-02-06,36.5,27.1,44.1,0,0,33,7.6,,1021.5,
2024-02-07,37.6,29.1,48.9,0,0,345,5.6,,1025.7,
2024-02-08,41.2,32,53.1,0,0,203,5.6,,1025.5,
2024-02-09,45.7,39,57,0,0,199,4.7,,1018.7,
2024-02-10,46.6,39.9,55,0,0,246,4.2,,1011.9,
2024-02-11,47.3,42.1,50,0,0,354,4.5,,1013,
2024-02-12,45.3,39.9,50,0.098,0,57,3.8,,1011.6,
2024-02-13,38.8,33.1,42.1,0.748,0,336,14.5,,1004.3,
2024-02-14,37,31.1,39.9,0,0,296,13.2,,1018.5,
2024-02-15,33.3,26.2,41,0,0,247,7.4,,1018.7,
2024-02-16,39,33.1,43,0,0,300,12.6,,1013.5,
2024-02-17,35.1,26.2,37.9,0.189,1.969,321,11.9,,1010.7,
2024-02-18,32.9,25.2,45,0,0,234,15.4,,1013.2,
2024-02-19,36.9,28.2,46,0,0,325,7,,1021.9,
2024-02-20,34.5,25.2,44.1,0,0,59,6.3,,1031.3,
2024-02-21,34.9,25.2,48,0,0,40,4.7,,1029.2,
2024-02-22,36.7,27.1,48,0.079,0,140,4.9,,1014.8,
2024-02-23,43.3,39.9,48,0,0,355,5.8,,999.6,
2024-02-24,41.5,28.2,44.1,0.051,0,347,11.6,,1007.2,
2024-02-25,31.3,22.1,44.1,0,0,258,7.1,,1020.5,
2024-02-26,41.5,31.1,57.9,0,0,200,3.8,,1017.3,
2024-02-27,49.3,36,64.9,0.11,0,125,8.3,,1013.7,
2024-02-28,57.7,42.1,63,0.11,0,207,15.4,,1005.6,
2024-02-29,41,32,43,0,0,291,14.3,,1026.4,
2024-03-01,38.8,30.2,50,0,0,145,5.3,,1035.2,
2024-03-02,45.1,39,55.9,1.169,0,77,8.9,,1023.6,
2024-03-03,54,42.1,66,0,0,281,5.2,,1022.4,
2024-03-04,54.1,44.1,66,0,0,69,6.7,,1026.3,
2024-03-05,46.2,43,50,0.26,0,18,9.4,,1019.8,
