date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,54.3,46.9,63,0,0,358,4,,1017.1,
2024-01-02,55.2,45,66,0,0,356,2.9,,1020.2,
2024-01-03,54.9,45,64,0.012,0,103,6.7,,1015.6,
2024-01-04,52.5,45,60.1,0,0,246,6.7,,1015.2,
2024-01-05,50.5,42.1,57.9,0,0,40,2.9,,1017.7,
2024-01-06,50,39.9,62.1,0,0,103,4.5,,1017.8,
2024-01-07,51.3,43,54,0.012,0,247,10.5,,1007.7,
2024-01-08,45.1,37,54,0,0,280,5.8,,1018.5,
2024-01-09,45,35.1,55.9,0,0,93,3.4,,1020.8,
2024-01-10,46.6,37,60.1,0,0,70,4.5,,1012.9,
2024-01-11,49.3,39,57.9,0.012,0,329,12.3,,1011.2,
2024-01-12,46.6,36,57.9,0,0,61,4,,1020.3,
2024-01-13,48.2,37,62.1,0,0,36,2.7,,1017.1,
2024-01-14,52.5,41,66.9,0,0,87,4.9,,1013.7,
2024-01-15,53.8,42.1,68,0,0,81,3.1,,1015.9,
2024-01-16,55.8,44.1,70,0,0,33,2.5,,1016.8,
2024-01-17,55.6,45,68,0,0,96,5.2,,1014.7,
2024-01-18,58.3,45,75.9,0,0,54,2.5,,1016.9,
2024-01-19,61.9,50,77,0,0,88,3.6,,1015.7,
2024-01-20,61.3,52,68,0,0,128,5.6,,1011.5,
2024-01-21,59,53.1,63,0.031,0,44,3.8,,1011.8,
2024-01-22,55,50,64,0.26,0,99,5.8,,1011.2,
2024-01-23,56.5,54,61,0.409,0,117,6.5,,1009.5,
2024-01-24,56.5,53.1,63,0,0,356,2.2,,1016.7,
2024-01-25,57.2,51.1,66,0,0,98,6,,1016.5,
2024-01-26,57.4,46.9,69.1,0,0,322,4.7,,1020.2,
2024-01-27,59.2,46.9,73.9,0,0,39,6.7,,1022.4,
2024-01-28,66,53.1,78.1,0,0,58,8.9,,1020.1,
2024-01-29,65.7,54,81,0,0,46,3.8,,1018.4,
2024-01-30,66.6,54,81,0,0,51,3.6,,1016.3,
2024-01-31,66.7,55.9,81,0,0,105,5.2,,1014.6,
2024-02-01,68.7,55,81,0.382,0,145,12.3,,1007.6,
2024-02-02,58.6,52,63,0.209,0,244,10.9,,1008.4,
2024-02-03,54.9,46,64,0,0,34,4.7,,1013.1,
2024-02-04,56.1,48.9,70,0,0,94,5.8,,1016.9,
2024-02-05,61.3,53.1,75,0,0,92,7.1,,1012,
2024-02-06,64.2,50,66,0.22,0,195,9.6,,1005.3,
2024-02-07,54.3,48.9,62.1,0.118,0,158,8.5,,1010.7,
2024-02-08,52.2,43,57.9,0.22,0,125,10.5,,1014.2,
2024-02-09,47.5,39.9,60.1,0,0,50,3.6,,1015.6,
2024-02-10,50.9,45,59,0.169,0,217,7.6,,1012.8,
2024-02-11,49.5,39.9,62.1,0,0,54,3.8,,1019.7,
2024-02-12,52.5,42.1,66.9,0,0,45,3.8,,1017.9,
2024-02-13,56.5,45,71.1,0,0,150,4.7,,1013.7,
2024-02-14,57.7,46,71.1,0,0,92,3.8,,1017.6,
2024-02-15,59.4,48,73.9,0,0,118,5.6,,1018,
2024-02-16,60.8,48,72,0,0,133,5.2,,1016.4,
2024-02-17,62.2,51.1,75,0,0,127,5.3,,1014.9,
2024-02-18,63.1,51.1,77,0,0,98,4.7,,1014,
2024-02-19,65.3,54,80.1,0,0,118,5.8,,1016.2,
2024-02-20,67.3,53.1,82,0,0,91,6.3,,1017.1,
2024-02-21,67.1,55.9,75.9,0,0,33,7.8,,1015.3,
2024-02-22,64.2,54,75.9,0,0,318,4,,1017.9,
2024-02-23,65.8,53.1,81,0,0,49,3.1,,1015.8,
2024-02-24,67.3,57.9,78.1,0,0,68,4.2,,1015.6,
2024-02-25,68.7,59,84,0,0,88,4.7,,1015.1,
2024-02-26,71.2,63,75.9,0,0,68,3.8,,1011.7,
