date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,55.6,48,64,0,,349,2.7,,1018.8,
2024-01-02,54,45,64,0,,342,2.2,,1023.4,
2024-01-03,56.5,52,61,0.118,,318,6.7,,1019.7,
2024-01-04,54.9,45,62.1,0,,12,3.4,,1020.7,
2024-01-05,53.2,42.1,64.9,0,,343,2.7,,1021.1,
2024-01-06,53.4,41,66,0,,257,4.5,,1020.1,
2024-01-07,58.3,46.9,60.1,0.031,,309,12.3,,1014.7,
2024-01-08,51.3,37.9,60.1,0,,346,3.8,,1023.4,
2024-01-09,51.4,37.9,63,0,,350,2,,1022.4,
2024-01-10,52,43,62.1,0,,291,5.8,,1016.7,
2024-01-11,58.5,46,64,0.13,,310,9.8,,1017.8,
2024-01-12,51.4,39.9,62.1,0,,346,2.7,,1021.4,
2024-01-13,52,41,62.1,0,,340,2,,1019.2,
2024-01-14,53.2,45,62.1,0,,340,2.2,,1017.9,
2024-01-15,53.1,43,62.1,0,,339,2.7,,1018.2,
2024-01-16,55,48.9,64.9,0,,342,3.6,,1018.6,
2024-01-17,57.6,55,61,0,,353,3.4,,1018.2,
2024-01-18,57.6,48,66,0,,335,3.1,,1018.7,
2024-01-19,57.6,50,72,0,,350,2.5,,1016.5,
2024-01-20,59,55.9,62.1,0.331,,163,5.8,,1013.8,
2024-01-21,58.5,55.9,62.1,0.26,,162,6.7,,1013.5,
2024-01-22,59.7,57.9,62.1,2.728,,200,10.1,,1009.7,
2024-01-23,59.4,55.9,63,0.051,,287,5.8,,1014.1,
2024-01-24,58.5,54,61,0,,296,3.6,,1020.4,
2024-01-25,58.5,54,62.1,0,,199,4.7,,1021,
2024-01-26,56.7,48,66,0,,343,3.4,,1022.6,
2024-01-27,57.9,46,72,0,,348,2.7,,1021.5,
2024-01-28,60.8,46.9,78.1,0,,342,2.7,,1019.7,
2024-01-29,62.1,48,75,0,,336,2,,1019.2,
2024-01-30,59.7,48,73,0,,331,2.5,,1017.4,
2024-01-31,57.9,50,63,0,,216,4.5,,1015.6,
2024-02-01,57.9,55,61,0.819,,172,11.6,,1009.9,
2024-02-02,57.9,54,62.1,0.079,,282,9.8,,1015,
2024-02-03,56.5,48.9,62.1,0,,306,4.2,,1017.5,
2024-02-04,57.4,50,64,0,,138,11.2,,1016,
2024-02-05,61.5,54,64,1.039,,146,8.5,,1011.8,
2024-02-06,55.6,54,60.1,0.882,,182,9.8,,1007.2,
2024-02-07,55.2,50,61,0.512,,232,9.6,,1014.3,
2024-02-08,56.1,51.1,60.1,0.252,,270,10.5,,1018,
2024-02-09,54.1,50,60.1,0.169,,136,5.6,,1018.1,
2024-02-10,54.1,46.9,62.1,0,,354,4.2,,1017.7,
2024-02-11,53.8,42.1,64.9,0,,346,4,,1022.2,
2024-02-12,53.2,42.1,64,0,,341,2.9,,1019.3,
2024-02-13,54,44.1,63,0,,330,3.1,,1017.3,
2024-02-14,54.9,46.9,63,0,,340,3.8,,1020.9,
2024-02-15,57,48.9,64,0,,336,5.8,,1021.8,
2024-02-16,59.5,55.9,64,0,,334,5.2,,1020,
2024-02-17,57.9,52,62.1,0,,340,2.7,,1019.3,
2024-02-18,57,50,64.9,0,,346,2.7,,1018.4,
2024-02-19,59.4,55,66,0.02,,154,7.1,,1019.9,
2024-02-20,61.3,57.9,64,0.39,,191,5.2,,1020.4,
2024-02-21,59.5,54,64.9,0.421,,299,4.5,,1020.7,
2024-02-22,57.9,50,64,0,,344,4,,1022.3,
2024-02-23,59.9,51.1,73.9,0,,353,3.6,,1017.8,
2024-02-24,62.8,55,75,0,,351,2.5,,1017.1,
2024-02-25,60.1,53.1,64.9,0,,329,3.4,,1017.9,
2024-02-26,60.1,55.9,63,0,,343,3.4,,1016.6,
2024-02-27,61,55.9,66.9,0,,278,4.9,,1015.9,
2024-02-28,59.7,54,64.9,0,,324,4.9,,1017.7,
2024-02-29,61.3,59,66,0,,255,5.3,,1021.5,
2024-03-01,61.2,53.1,66,0,,296,5.8,,1021,
2024-03-02,60.4,57,64,0.169,,216,8.9,,1018.7,
2024-03-03,59.5,55.9,64,0.012,,286,7.8,,1018.8,
2024-03-04,58.5,54,64,0.039,,325,5.8,,1019.7,
2024-03-05,59.2,55,64,0,,299,4.7,,1018,
2024-03-06,58.6,52,64.9,0.449,,183,7.1,,1013.6,
2024-03-07,58.3,53.1,63,0.059,,309,5.8,,1013.9,
2024-03-08,58.6,52,66,0,,337,5.2,,1019.7,
2024-03-09,59.4,50,69.1,0,,336,3.8,,1020,
2024-03-10,58.6,51.1,66,0,,333,4.5,,1018.8,
2024-03-11,59,53.1,64,0,,333,4.7,,1019.1,
2024-03-12,58.8,55,64.9,0.031,,251,4.5,,1020.4,
2024-03-13,60.6,55.9,66,0,,275,6.5,,1016.1,
2024-03-14,59.4,53.1,68,0.031,,23,4.5,,1009.8,
2024-03-15,58.3,52,64,0,,147,7.6,,1011.2,
2024-03-16,59.4,52,68,0,,311,4.9,,1017,
2024-03-17,59.4,51.1,66,0,,336,4.9,,1018.5,
2024-03-18,59.9,51.1,75.9,0,,349,4,,1017.5,
2024-03-19,61.9,52,70,0,,328,4.7,,1017.3,
2024-03-20,60.6,54,66,0,,287,3.6,,1016.8,
2024-03-21,61.3,57,69.1,0,,321,4.7,,1019.2,
2024-03-22,60.8,55.9,66.9,0,,314,4.5,,1018.4,
2024-03-23,60.8,57,64.9,0.059,,265,10.1,,1013.9,
2024-03-24,59.2,54,64,0.059,,290,16.1,,1011,
2024-03-25,57.9,50,64,0,,256,6,,1014.4,
2024-03-26,59.7,54,64.9,0,,234,6,,1018.3,
2024-03-27,58.8,50,66.9,0,,319,3.8,,1021.4,
2024-03-28,59.2,55,64.9,0,,341,7.1,,1018.6,
2024-03-29,59.2,52,64,0,,258,5.6,,1014.6,
2024-03-30,57.4,52,60.1,1.299,,124,11.4,,1009.3,
2024-03-31,56.8,52,64.9,0.331,,142,10.5,,1009.2,
2024-04-01,58.8,53.1,64.9,0,,336,4.9,,1015.4,
2024-04-02,59.4,50,69.1,0,,321,3.6,,1023.9,
2024-04-03,61.2,52,70,0,,337,4.5,,1020.8,
2024-04-04,60.3,53.1,66,0.012,,287,7.8,,1014.6,
2024-04-05,56.5,52,60.1,0.11,,281,11.9,,1016.5,
2024-04-06,55.9,48,63,0,,303,6,,1023.3,
2024-04-07,55.8,46.9,64.9,0,,309,4.5,,1019,
2024-04-08,57.6,52,64,0,,19,5.3,,1015.3,
2024-04-09,60.1,48.9,73,0,,348,3.8,,1017.8,
2024-04-10,63.5,51.1,73.9,0,,317,4.2,,1017.5,
2024-04-11,61.3,55.9,66,0,,303,5.8,,1013,
2024-04-12,58.6,55.9,63,0,,194,7.6,,1014.1,
2024-04-13,62.2,54,66.9,0.039,,175,8.5,,1018.3,
2024-04-14,57.9,48.9,64.9,0,,292,5.2,,1020.9,
2024-04-15,60.3,55,66.9,0,,324,6.3,,1018.9,
2024-04-16,61,52,70,0,,330,4.7,,1017,
2024-04-17,61.7,52,69.1,0,,330,3.6,,1016.5,
2024-04-18,62.4,57.9,72,0,,233,5.8,,1015.7,
2024-04-19,62.4,60.1,66.9,0,,282,5.3,,1015.4,
2024-04-20,62.8,60.1,68,0,,319,5.8,,1016.6,
2024-04-21,62.8,60.1,68,0,,326,4.9,,1015.3,
2024-04-22,61,57.9,63,0,,252,5.6,,1013.5,
2024-04-23,61.3,59,66,0,,259,7.8,,1016.7,
2024-04-24,62.2,59,66.9,0,,304,7.1,,1018.6,
2024-04-25,61.5,57.9,66.9,0,,300,7.6,,1018.7,
2024-04-26,61.3,57,66,0,,265,8.9,,1015.4,
2024-04-27,62.2,57,68,0,,276,5.3,,1015.8,
2024-04-28,61.7,55,69.1,0,,311,4.5,,1015.9,
2024-04-29,62.6,57,69.1,0,,271,4.9,,1013.2,
2024-04-30,63,60.1,66.9,0,,193,7.6,,1012.2,
2024-05-01,63.9,61,69.1,0,,207,6.7,,1011.8,
2024-05-02,63.1,61,68,0,,219,5.3,,1012.8,
2024-05-03,63.5,61,69.1,0,,224,6.3,,1012.4,
2024-05-04,63.7,60.1,66.9,0,,263,7.1,,1013.5,
2024-05-05,61.3,55.9,64.9,0.039,,296,8.9,,1015.3,
2024-05-06,59.7,50,69.1,0,,337,5.6,,1016.3,
2024-05-07,61.3,54,68,0,,218,6.3,,1013.7,
2024-05-08,62.4,59,66.9,0,,184,8.7,,1011.8,
2024-05-09,63.7,60.1,69.1,0,,209,6,,1014.1,
2024-05-10,62.2,57,66.9,0,,327,4.5,,1014.8,
2024-05-11,63.3,60.1,66.9,0,,316,6,,1014.2,
2024-05-12,62.8,59,69.1,0,,297,5.3,,1014.3,
2024-05-13,62.6,57.9,66.9,0,,304,5.2,,1015,
2024-05-14,61.3,59,66.9,0,,267,5.6,,1014,
2024-05-15,61.5,60.1,63,0,,244,6.5,,1014,
2024-05-16,63,60.1,69.1,0,,284,7,,1014.9,
2024-05-17,63.1,59,66.9,0,,315,4.5,,1015.1,
2024-05-18,64,61,70,0,,279,6.7,,1016.2,
2024-05-19,63,59,68,0,,281,6.7,,1017.4,
2024-05-20,62.4,61,66.9,0,,277,6.3,,1015.9,
2024-05-21,63,59,68,0,,287,5.8,,1014.9,
2024-05-22,63.1,61,68,0,,279,5.6,,1015.2,
2024-05-23,62.4,60.1,66.9,0,,215,7.1,,1014.6,
2024-05-24,62.8,61,68,0,,263,6.7,,1014.4,
2024-05-25,61.9,57,64.9,0.031,,273,6.7,,1016.6,
2024-05-26,61.5,57.9,66.9,0,,308,4.9,,1016.9,
2024-05-27,62.8,59,68,0,,309,5.3,,1017.5,
2024-05-28,61.3,59,68,0,,284,5.8,,1017.8,
2024-05-29,61.3,59,66,0,,214,5.8,,1017.3,
2024-05-30,62.1,60.1,66.9,0,,208,6.5,,1014.9,
2024-05-31,62.8,60.1,69.1,0,,235,6.7,,1013.6,
2024-06-01,62.4,59,69.1,0,0,257,6.7,,1013.9,
2024-06-02,62.8,61,66,0,,226,6.7,,1013.8,
2024-06-03,63.3,60.1,68,0,,200,7.1,,1012.6,
2024-06-04,63.5,62.1,68,0,,198,7,,1011.7,
2024-06-05,63.3,62.1,68,0,,234,4.5,,1012.5,
2024-06-06,63.5,62.1,68,0,,272,4.7,,1012.5,
2024-06-07,63.1,60.1,66,0,,238,5.2,,1013.2,
2024-06-08,63.9,61,68,0,,206,6.7,,1014.3,
2024-06-09,63.3,61,66.9,0,,222,6.3,,1014.9,
2024-06-10,64.2,62.1,70,0,,265,5.8,,1014,
2024-06-11,64.8,63,66,0,,292,5.2,,1013.3,
2024-06-12,64.9,62.1,72,0,,283,5.8,,1014.7,
2024-06-13,65.5,62.1,71.1,0,,311,6.5,,1015.4,
2024-06-14,66.4,62.1,72,0,,312,6.3,,1014,
2024-06-15,66,61,73.9,0,,316,4.7,,1010.3,
2024-06-16,66.4,62.1,69.1,0,,184,9.4,,1008.6,
2024-06-17,63.9,61,69.1,0,,194,7.6,,1008,
2024-06-18,65.1,62.1,69.1,0,,192,8.1,,1009,
2024-06-19,65.1,63,70,0,,224,7.1,,1011.1,
2024-06-20,66.6,63,72,0,,314,5.8,,1009.8,
2024-06-21,67.5,64,73,0,,295,6.7,,1008.4,
2024-06-22,68.2,64,73.9,0,,307,5.8,,1010.4,
2024-06-23,73,66.9,84,0,,304,4.7,,1012.3,
2024-06-24,74.7,69.1,81,0,,291,5.8,,1013.1,
2024-06-25,72.9,68,78.1,0,,236,5.6,,1014.2,
2024-06-26,71.1,66.9,75,0,,251,5.8,,1014.9,
2024-06-27,69.3,66.9,73,0,,194,7,,1011.5,
2024-06-28,68.9,63,71.1,0,,195,6.3,,1010.6,
2024-06-29,67.6,64,75,0,,320,6.3,,1012.4,
2024-06-30,69.6,64.9,75.9,0,,312,6.5,,1013.1,
2024-07-01,67.6,64.9,72,0,,192,6.3,,1012.4,
2024-07-02,68,64.9,73.9,0,,242,5.6,,1010.8,
2024-07-03,70,64.9,77,0,,314,5.8,,1012.1,
2024-07-04,70.7,66.9,77,0,,292,6.7,,1014.2,
2024-07-05,70.7,66,77,0,,267,5.8,,1010.8,
2024-07-06,69.1,64.9,75.9,0,,191,7.4,,1011.2,
2024-07-07,70,66,75.9,0,,241,5.6,,1013.2,
2024-07-08,69.8,66.9,77,0,,281,5.2,,1010.9,
2024-07-09,71.1,66.9,75.9,0,,298,5.3,,1010.3,
2024-07-10,69.4,66.9,75,0,,287,4.5,,1011.4,
2024-07-11,69.3,66,75.9,0,,297,5.3,,1012,
2024-07-12,69.3,66,77,0,,269,5.3,,1012.3,
2024-07-13,69.3,66,75,0,,294,4.7,,1014.6,
2024-07-14,71.4,68,77,0,,303,5.8,,1017.2,
2024-07-15,70.7,68,75.9,0,,292,7.6,,1016.5,
2024-07-16,70.3,68,75.9,0,,300,5.3,,1015.6,
2024-07-17,71.2,68,77,0,,274,6,,1014.9,
2024-07-18,71.1,66.9,77,0,,260,5.3,,1015.2,
2024-07-19,71.1,68,78.1,0,,307,5.8,,1014.8,
2024-07-20,71.8,66.9,78.1,0,,320,7,,1013.4,
2024-07-21,71.4,68,75,0,,232,5.6,,1012.8,
2024-07-22,71.4,68,78.1,0,,259,4.5,,1011.5,
2024-07-23,73.6,70,79,0,,311,4.5,,1013.1,
2024-07-24,74.8,71.1,80.1,0,,308,7,,1016.7,
2024-07-25,74.8,71.1,80.1,0,,303,7.4,,1016.2,
2024-07-26,74.7,69.1,80.1,0,,299,6.7,,1012.9,
2024-07-27,71.2,66.9,77,0,,305,5.8,,1012.2,
2024-07-28,70.3,66,77,0,,305,6.5,,1013.6,
2024-07-29,70.2,64.9,75.9,0,,325,7.4,,1014.8,
2024-07-30,69.6,66,75.9,0,,301,5.6,,1014.2,
2024-07-31,69.4,64.9,75.9,0,,307,5.8,,1013.6,
2024-08-01,70.5,66.9,75.9,0,,302,6,,1015.7,
2024-08-02,72,68,82.9,0,,319,6,,1016.4,
2024-08-03,72.7,69.1,79,0,,306,6.7,,1014,
2024-08-04,72.3,69.1,79,0,,311,6.5,,1011.8,
2024-08-05,72.9,69.1,79,0,,306,5.6,,1012.2,
2024-08-06,72.9,69.1,84.9,0,,199,5.3,,1014,
2024-08-07,72.9,68,75.9,0,,180,6.3,,1015.8,
2024-08-08,71.8,66.9,78.1,0,,280,4.7,,1013.7,
