date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,39.6,33.1,46,0,,1,0.6,,1022.6,
2024-01-02,42.1,37.9,45,0.189,,3,0.5,,1014.7,
2024-01-03,45.1,39,50,0.102,,89,5,,1015.9,
2024-01-04,44.6,41,46.9,0.126,,144,4.9,,1020.9,
2024-01-05,45,41,46.9,0.378,,168,11.4,,1021.3,
2024-01-06,41.5,37.9,44.1,0.48,,133,5,,1008.6,
2024-01-07,39.7,37.9,42.1,0.016,,78,2.7,,1018,
2024-01-08,40.6,37.9,50,0.441,,146,8.7,,1014.5,
2024-01-09,43.9,41,46.9,0.287,,200,13.2,,1002.5,
2024-01-10,38.8,36,43,0,,152,8.4,,1005.8,
2024-01-11,36.3,27,43,0.024,,276,6,,1010.2,
2024-01-12,20.7,16,26.1,0,,351,7.5,,1023.3,
2024-01-13,18.9,14,24.1,0,,354,1.6,,1015.2,
2024-01-14,23.4,16,30.9,0,,8,1.5,,1023.2,
2024-01-15,27,19,36,0,,357,1.5,,1028,
2024-01-16,30.2,23,36,0.102,,14,1.2,,1014.4,
2024-01-17,34.2,30.9,37,0.181,,68,3.2,,1004,
2024-01-18,36.7,35.1,37,0.457,,0,1.3,,1018.8,
2024-01-19,41.2,37,46.9,0,,20,2,,1012.6,
2024-01-20,41.7,35.1,48,0.091,,347,2.7,,1001.6,
2024-01-21,44.6,42.1,48,0.602,,120,3.2,,999,
2024-01-22,47.1,44.1,52,0.437,,108,4.3,,1000.9,
2024-01-23,47.7,41,53.1,0,,160,6.4,,1011.7,
2024-01-24,45.7,41,52,0.319,,144,5.9,,1008.5,
2024-01-25,47.1,42.1,51.1,0.201,,149,7.8,,1017.6,
2024-01-26,48.2,44.1,54,0.346,,125,3.5,,1019,
2024-01-27,51.4,48,55,0.575,,153,5.9,,1017,
2024-01-28,55.9,51.1,60.1,0.433,,148,5.2,,1018.6,
2024-01-29,54.5,48,57.9,0.008,,114,3.4,,1015.2,
2024-01-30,54.1,51.1,57.9,0.024,,8,2.4,,1010.7,
2024-01-31,53.6,50,55.9,0.201,,15,2.7,,998.2,
2024-02-01,51.6,46.9,57.9,0.173,,140,4.9,,998.5,
2024-02-02,47.7,42.1,55,0.035,,96,3.4,,1006.1,
2024-02-03,44.4,37.9,50,0,,348,2,,1016.4,
2024-02-04,45.9,43,50,0,,5,4.4,,1011.5,
2024-02-05,44.1,42.1,46,0.142,,351,2.7,,1003.3,
2024-02-06,43,42.1,46,0.142,,87,2.1,,1007.9,
2024-02-07,44.4,39.9,48,0,,350,2.7,,1007.8,
2024-02-08,43.9,42.1,46.9,0.004,,160,3.9,,1015.4,
2024-02-09,41.5,34,46.9,0,,73,2.7,,1021.9,
2024-02-10,42.8,34,50,0,,31,1.2,,1023.3,
2024-02-11,46.8,43,53.1,0.496,,159,6.8,,1017.3,
2024-02-12,46.4,45,48.9,0.11,,298,4.8,,1020,
2024-02-13,44.6,37.9,48,0,,9,2.9,,1018.9,
2024-02-14,43.3,37,50,0.055,,26,4,,1011.9,
2024-02-15,38.8,34,42.1,0.528,,9,3,,1015.9,
2024-02-16,41.5,30,50,0,,61,5,,1023.8,
2024-02-17,46,37.9,55,0,,87,7,,1014.4,
2024-02-18,46.2,42.1,48.9,0,,36,2.2,,1009.7,
2024-02-19,44.4,41,48,0.012,,343,1.8,,1006.7,
2024-02-20,48.4,43,55,0.228,,100,3.2,,1011.5,
2024-02-21,47.7,45,52,0.535,,138,6.3,,1014.8,
2024-02-22,48,41,55.9,0,,49,3.4,,1026.2,
2024-02-23,43.5,37,50,0,,347,1.9,,1026.2,
2024-02-24,46.8,43,50,0,,168,6.5,,1020,
2024-02-25,46.9,37.9,51.1,0.063,,178,12.9,,1009.2,
2024-02-26,37.9,33.1,45,0.02,,128,4.3,,1010.2,
2024-02-27,37.6,30,46.9,0.043,,132,6.2,,1016.3,
2024-02-28,47.8,45,51.1,0.87,,172,13.9,,1003,
2024-02-29,39.6,35.1,43,0.567,,168,10.3,,998.3,
2024-03-01,38.8,37,42.1,0.209,,154,6.2,,997.8,
2024-03-02,38.8,36,43,0.043,,184,5.9,,997,
2024-03-03,39,35.1,43,0.122,,165,10.1,,1004.8,
2024-03-04,38.8,32,45,0.327,,190,6.5,,1012.3,
2024-03-05,38.1,33.1,45,0,,15,3.4,,1016.8,
2024-03-06,37,28,44.1,0,,354,3.3,,1019.5,
2024-03-07,38.8,28.9,48,0,,55,1.9,,1023.4,
2024-03-08,46.2,37,55,0,,49,3,,1019.8,
2024-03-09,47.8,44.1,52,0.043,,165,9.5,,1008.4,
2024-03-10,47.8,45,51.1,0.346,,169,9.3,,1005,
2024-03-11,46.8,39.9,51.1,0.28,,157,8.7,,1007.2,
2024-03-12,47.3,44.1,51.1,0.217,,188,10.2,,1012.5,
2024-03-13,45.9,42.1,53.1,0,,248,4,,1029.6,
